demonstration	demon_label	test_sentence	response	attachment	structure
The gardener watered the plants	The gardener watered	The doctor saved the boy using a pacemaker	The doctor saved	pp	structure_2
The teacher explained the concept	The teacher explained	Jasmine sang the song with romantic lyrics	Jasmine sang	pp	structure_1
The park of the city delighted the children	The park of delighted the children	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning	adjunct	structure_1
The bird sang a melody	The bird sang	Van Gogh drew the paintings with starry night	Van Gogh drew	pp	structure_1
The baker kneaded the dough	The baker kneaded	The comedian entertained the crowd with witty jokes	The comedian entertained	pp	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The miner of the gold that had the impurities was worthless	The miner of was worthless	adjunct	structure_1
The artist of the mural completed his work	The artist of completed his work	The driver of the car that had the moustache was pretty cool	The driver of was pretty cool	adjunct	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of effect hurt everyone	adjunct	structure_1
The fisherman caught the trout	The fisherman caught	The basketball player won the game with his team	The basketball player won	pp	structure_2
The mechanic fixed the engine	The mechanic fixed	Charles runs a photo studio with two floors	Charles runs	pp	structure_1
The attorney of the company bothered me	The attorney of bothered me	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us	adjunct	structure_2
The song of the player is really popular	The song of is really popular	The singer of the song that had long eyelashes was very smart	The singer of was very smart	adjunct	structure_2
The plains of the tribe looked strange	The plains of looked strange	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked odd	adjunct	structure_2
The sculptor chiseled the statue	The sculptor chiseled	The professor challenged the students with his projects	The professor challenged	pp	structure_2
The photographer adjusted the lens	The photographer adjusted	the cook ate the meal with some cauliflowers	the cook ate	pp	structure_1
The hiker climbed the mountain	The hiker climbed	The guy caught the rat with a trap	The guy caught	pp	structure_2
The forest of the animals pleased us	The forest of pleased us	The house of the painter that had the small windows looked odd	The house of looked odd	adjunct	structure_2
The dancer performed the routine	The dancer performed	Michelle watched the movie with English subtitles	Michelle watched	pp	structure_1
The architect designed the building	The architect designed	Dan entered the room with a window	Dan entered	pp	structure_1
The festival of the village entertained the guests	The festival of entertained the guests	The flowers of the valley that had the old castle excited the tourists	The flowers of excited the tourists	adjunct	structure_1
The student read the book	The student read	The police investigated the house with the permission	The police investigated	pp	structure_2
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday	adjunct	structure_1
The designer of the dress took a bow	The designer of took a bow	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense	adjunct	structure_2
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The machine of the inventor that had the goatee was amazing	The machine of was amazing	adjunct	structure_1
