demonstration	demon_label	test_sentence	response	attachment	structure
The castle of the kingdom awed the tourists	The castle of awed the tourists	The flowers of the valley that had the old castle excited the tourists	The flowers excited the tourists	adjunct	structure_1
The house of the painter looked odd	The house of looked odd	The inventor of the machine that had the goatee was amazing	The inventor of was amazing	adjunct	structure_2
The pilot flew the airplane	The pilot flew	The basketball player won the game with his team	The basketball player won	pp	structure_2
The dancer performed the routine	The dancer performed	Bruce likes the rock band with different instruments	Bruce likes	pp	structure_1
The journalist reported the news	The journalist reported	The coach led the team with three members	The coach led	pp	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The gold of the miner that had the impurities was worthless	The gold of the miner that had the impurities was worthless	adjunct	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense	adjunct	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked odd	adjunct	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of hurt everyone	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The criminal of the gang that had a long scar disappeared last Monday	The criminal of disappeared last Monday	adjunct	structure_2
The tailor altered the coat	The tailor altered	Michelle watched the movie with English subtitles	Michelle watched	pp	structure_1
The architect designed the building	The architect designed	The comedian saw the crowd with fresh flowers	The comedian saw	pp	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The song of the singer that had long eyelashes was very smart	The song of was very smart	adjunct	structure_1
The mechanic fixed the engine	The mechanic fixed	The doctor noticed the boy using big headphones	The doctor noticed	pp	structure_1
The chef seasoned the soup	The chef seasoned	Jasmine sang the song with the lovely students	Jasmine sang	pp	structure_2
The baker kneaded the dough	The baker kneaded	The guy caught the rat with a trap	The guy caught	pp	structure_2
The programmer wrote the code	The programmer wrote	The professor challenged the students with his projects	The professor challenged	pp	structure_2
The hiker climbed the mountain	The hiker climbed	Dan entered the room with a key	Dan entered	pp	structure_2
The gardener watered the plants	The gardener watered	Charles runs a photo studio with two floors	Charles runs	pp	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us	adjunct	structure_1
The director of the orchestra played well	The director of played well	The house of the painter that had the small windows looked odd	The house of looked odd	adjunct	structure_2
The song of the player is really popular	The song of is really popular	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning	adjunct	structure_1
The gallery of the center impressed the critics	The gallery of impressed the critics	The driver of the car that had the moustache was pretty cool	The driver of was pretty cool	adjunct	structure_2
The gamer played the game	The gamer played	The police investigated the house with the permission	The police investigated	pp	structure_2
