demonstration	demon_label	test_sentence	response	attachment	structure
The baker baked the cake	The baker baked	Michelle watched the movie with her boyfriend	Michelle watched the movie	pp	structure_2
The singer composed a song	The singer composed	Dan entered the room with a key	Dan entered	pp	structure_2
The bird sang a melody	The bird sang	Jasmine sang the song with the lovely students	Jasmine sang	pp	structure_2
The artist of the mural completed his work	The artist of completed his work	The writer of the letter that had blonde hair arrived this morning	The writer of arrived this morning	adjunct	structure_2
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The inventor of the machine that had the goatee was amazing	The inventor of was amazing	adjunct	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The church of the bishop that had the funny eyebrows looked odd	The church of looked odd	adjunct	structure_1
The carpenter built the house	The carpenter built	The professor recruited the students with black eyes	The professor recruited	pp	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The song of the singer that had long eyelashes was very smart	The song of was very smart	adjunct	structure_1
The library of the school attracted many scholarse	The library of attracted many scholarse	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of had a nasty effect hurt everyone	adjunct	structure_1
The fisherman caught the trout	The fisherman caught	Mom melted the chocolate with an iron pot	Mom melted	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The valley of the flowers that had the old castle excited the tourists	The valley of excited the tourists	adjunct	structure_2
The librarian sorted the books	The librarian sorted	Bill cut the paper with a very bright colour	Bill cut	pp	structure_1
The manager of the factory was efficient	The manager of was efficient	The editor of the thesis that had the big nose made a lot of sense	The editor of had the big nose	adjunct	structure_2
The director of the orchestra played well	The director of played well	The car of the driver that had the moustache was pretty cool	The car of was pretty cool	adjunct	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The painter of the house that had the small windows looked odd	The painter of the house had the small windows looked odd	adjunct	structure_1
The lawyer argued the case	The lawyer argued	Bruce likes the rock band with different instruments	Bruce likes	pp	structure_1
The house of the painter looked odd	The house of looked odd	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday	adjunct	structure_1
The plains of the tribe looked strange	The plains of looked strange	The gold of the miner that had the impurities was worthless	The gold of was worthless	adjunct	structure_2
The designer of the dress took a bow	The designer of took a bow	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us	adjunct	structure_2
The photographer adjusted the lens	The photographer adjusted	Charles runs a photo studio with two floors	Charles runs	pp	structure_1
The jeweler polished the diamond	The jeweler polished	The guy caught the rat with a scar	The guy caught	pp	structure_1
The driver steered the car	The driver steered	The police investigated the house with a garden	The police investigated	pp	structure_1
The actor memorized the script	The actor memorized	Queen Elizabeth II ate the cake with a silver fork	Queen Elizabeth II ate	pp	structure_2
The journalist reported the news	The journalist reported	The comedian entertained the crowd with witty jokes	The comedian entertained	pp	structure_2
