demonstration	demon_label	test_sentence	response	attachment	structure
The castle of the kingdom awed the tourists	The castle of awed the tourists	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked odd. 	adjunct	structure_2
The tailor altered the coat	The tailor altered	Dan entered the room with a window	Dan entered. 	pp	structure_1
The student solved the equation	The student solved	The police investigated the house with the permission	The police investigated. 	pp	structure_2
The musician tuned the guitar	The musician tuned	the cook ate the meal with some cauliflowers	The cook ate. 	pp	structure_1
The dancer performed the routine	The dancer performed	The professor recruited the students with black eyes	The professor recruited. 	pp	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The song of the singer that had long eyelashes was very smart	The song of was very smart. 	adjunct	structure_1
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The valley of the flowers that had the old castle excited the tourists	The valley of excited the tourists. 	adjunct	structure_2
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense. 	adjunct	structure_1
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The inventor of the machine that had the goatee was amazing	The inventor of  was amazing. 	adjunct	structure_2
The baker baked the cake	The baker baked	Michelle watched the movie with her boyfriend	Michelle watched. 	pp	structure_2
The programmer wrote the code	The programmer wrote	The magician thanked the participant with a big nose	The magician thanked. 	pp	structure_1
The song of the player is really popular	The song of is really popular	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of hurt everyone. 	adjunct	structure_2
The bakery of the district tempted the locals	The bakery of tempted the locals	The painter of the house that had the small windows looked odd	The painter of looked odd. 	adjunct	structure_1
The designer of the dress took a bow	The designer of took a bow	The miner of the gold that had the impurities was worthless	The miner of was worthless. 	adjunct	structure_1
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The criminal of the gang that had a long scar disappeared last Monday	The criminal of disappeared last Monday. 	adjunct	structure_2
The actor memorized the script	The actor memorized	The guy caught the rat with a scar	The guy caught. 	pp	structure_1
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us. 	adjunct	structure_2
The fisherman caught the trout	The fisherman caught	Charles runs a photo studio with two friends	Charles runs. 	pp	structure_2
The plains of the tribe looked strange	The plains of looked strange	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning. 	adjunct	structure_1
The jeweler polished the diamond	The jeweler polished	Jasmine sang the song with romantic lyrics	Jasmine sang. 	pp	structure_1
The photographer adjusted the lens	The photographer adjusted	The comedian entertained the crowd with witty jokes	The comedian entertained. 	pp	structure_2
The mechanic fixed the engine	The mechanic fixed	Mom melted the chocolate with an iron pot	Mom melted. 	pp	structure_2
The artist of the mural completed his work	The artist of completed his work	The car of the driver that had the moustache was pretty cool	The car of was pretty cool. 	adjunct	structure_1
The driver steered the car	The driver steered	The doctor saved the boy using a pacemaker	The doctor saved. 	pp	structure_2
