demonstration	demon_label	test_sentence	response	attachment	structure
The market of the city attracted the collectors	The market of attracted the collectors	The singer of the song that had long eyelashes was very smart	The singer of was very smart	adjunct	structure_2
The dancer performed the routine	The dancer performed	The guy caught the rat with a trap	the guy caught the rat	pp	structure_2
The baker baked the cake	The baker baked	The basketball player won the game with lots of audience	The basketball player won	pp	structure_1
The hiker climbed the mountain	The hiker climbed	The magician amazed the participant with a fancy scene	The magician amazed	pp	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked odd	adjunct	structure_2
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The driver of the car that had the moustache was pretty cool	The driver of was pretty cool	adjunct	structure_2
The sculptor chiseled the statue	The sculptor chiseled	Van Gogh sold the paintings with a broken heart	Van Gogh sold	pp	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The machine of the inventor that had the goatee was amazing	The machine of was amazing	adjunct	structure_1
The pilot flew the airplane	The pilot flew	the cook ate the meal with some cauliflowers	the cook ate	pp	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The painter of the house that had the small windows looked odd	The painter of looked odd	adjunct	structure_1
The manager of the factory was efficient	The manager of was efficient	The valley of the flowers that had the old castle excited the tourists	The valley of excited the tourists	adjunct	structure_2
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning	adjunct	structure_1
The student read the book	The student read	Queen Elizabeth II ate the cake with a red rose	Queen Elizabeth II ate	pp	structure_1
The student solved the equation	The student solved	The doctor noticed the boy using big headphones	The doctor noticed	pp	structure_1
The chef cooked the meal	The chef cooked	Bruce likes the rock band with different instruments	Bruce likes 	pp	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us	adjunct	structure_2
The jeweler polished the diamond	The jeweler polished	Mom ate the chocolate with chopped nuts	Mom ate	pp	structure_1
The designer of the dress took a bow	The designer of took a bow	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense	adjunct	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of hurt everyone	adjunct	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday	adjunct	structure_1
The journalist reported the news	The journalist reported	The coach motivated the team with inspiring words	The coach motivated	pp	structure_2
The carpenter built the house	The carpenter built	Jasmine sang the song with the lovely students	Jasmine sang	pp	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The miner of the gold that had the impurities was worthless	The miner of was worthless	adjunct	structure_1
The librarian sorted the books	The librarian sorted	Bill cut the paper with a very sharp knife	Bill cut	pp	structure_2
