demonstration	demon_label	test_sentence	response	attachment	structure
The musician tuned the guitar	The musician tuned	The police investigated the house with the permission	The police investigated. 	pp	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The singer of the song that had long eyelashes was very smart	The singer was very smart. 	adjunct	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense. 	adjunct	structure_1
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The house of the painter that had the small windows looked odd	The house of had the small windows looked odd. 	adjunct	structure_2
The dancer performed the routine	The dancer performed	Bill cut the paper with a very sharp knife	Bill cut the paper. 	pp	structure_2
The chef seasoned the soup	The chef seasoned	The basketball player won the game with lots of audience	The basketball player won. 	pp	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The writer of the letter that had blonde hair arrived this morning	The writer of had blonde hair arrived this morning. 	adjunct	structure_2
The fisherman caught the trout	The fisherman caught	The comedian saw the crowd with fresh flowers	The comedian saw. 	pp	structure_1
The king of the mountain impressed Arthur	The king of impressed Arthur	The church of the bishop that had the funny eyebrows looked odd	The church of had the funny eyebrows looked odd. 	adjunct	structure_1
The actor memorized the script	The actor memorized	The coach motivated the team with inspiring words	The coach motivated. 	pp	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The machine of the inventor that had the goatee was amazing	The machine of had the goatee was amazing. 	adjunct	structure_1
The baker baked the cake	The baker baked	The guy caught the rat with a trap	The guy caught. 	pp	structure_2
The house of the painter looked odd	The house of looked odd	The car of the driver that had the moustache was pretty cool	The car of was pretty cool. 	adjunct	structure_1
The tailor altered the coat	The tailor altered	The magician thanked the participant with a big nose	The magician thanked. 	pp	structure_1
The library of the school attracted many scholarse	The library of attracted many scholarse	The valley of the flowers that had the old castle excited the tourists	The valley of excited the tourists. 	adjunct	structure_2
The journalist reported the news	The journalist reported	Dan entered the room with a key	Dan entered. 	pp	structure_2
The gardener watered the plants	The gardener watered	The doctor saved the boy using a pacemaker	The doctor saved. 	pp	structure_2
The architect designed the building	The architect designed	Jasmine sang the song with romantic lyrics	Jasmine sang. 	pp	structure_1
The song of the player is really popular	The song of is really popular	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us. 	adjunct	structure_2
The lawyer argued the case	The lawyer argued	The professor recruited the students with black eyes	The professor recruited. 	pp	structure_1
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The criminal of the gang that had a long scar disappeared last Monday	The criminal of disappeared last Monday. 	adjunct	structure_2
The librarian sorted the books	The librarian sorted	Michelle watched the movie with English subtitles	Michelle watched. 	pp	structure_1
The director of the orchestra played well	The director of played well	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of hurt everyone. 	adjunct	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The miner of the gold that had the impurities was worthless	The miner of the gold that had the impurities was worthless. 	adjunct	structure_1
