demonstration	demon_label	test_sentence	response	attachment	structure
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The valley of the flowers that had the old castle excited the tourists	The valley of the excited tourists	adjunct	structure_2
The detective solved the mystery	The detective solved	The professor recruited the students with black eyes	The professor recruited 	pp	structure_1
The teacher explained the concept	The teacher explained	Queen Elizabeth II ate the cake with a red rose	Queen Elizabeth II ate	pp	structure_1
The collection of the store fascinated the students	The collection of fascinated the students	The thesis of the editor that had the big nose made a lot of sense	The thesis of made sense 	adjunct	structure_1
The designer of the dress took a bow	The designer of took a bow	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of hurt everyone	adjunct	structure_2
The artist of the mural completed his work	The artist of completed his work	The singer of the song that had long eyelashes was very smart	The singer of very smart	adjunct	structure_2
The attorney of the company bothered me	The attorney of bothered me	The machine of the inventor that had the goatee was amazing	The machine of amazing 	adjunct	structure_1
The dancer performed the routine	The dancer performed	Van Gogh sold the paintings with a broken heart	Van Gogh sold	pp	structure_2
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared	adjunct	structure_1
The student read the book	The student read	The guy caught the rat with a trap	The guy caught	pp	structure_2
The bakery of the district tempted the locals	The bakery of tempted the locals	The writer of the letter that had blonde hair arrived this morning	The writer of arrived this morning 	adjunct	structure_2
The chef cooked the meal	The chef cooked	The magician thanked the participant with a big nose	The magician thanked	pp	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us	adjunct	structure_1
The baker kneaded the dough	The baker kneaded	Jasmine sang the song with the lovely students	Jasmine sang	pp	structure_2
The photographer adjusted the lens	The photographer adjusted	Bill cut the paper with a very sharp knife	Bill cut	pp	structure_2
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The car of the driver that had the moustache was pretty cool	The car of was pretty cool	adjunct	structure_1
The plains of the tribe looked strange	The plains of looked strange	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked odd	adjunct	structure_2
The pilot flew the airplane	The pilot flew	Bruce leads the rock band with his voice	Bruce leads	pp	structure_2
The architect designed the building	The architect designed	The coach led the team with three members	The coach led	pp	structure_1
The musician tuned the guitar	The musician tuned	The doctor saved the boy using a pacemaker	The doctor saved 	pp	structure_2
The carpenter built the house	The carpenter built	The police investigated the house with a garden	The police investigated 	pp	structure_1
The tailor altered the coat	The tailor altered	Michelle watched the movie with English subtitles	Michelle watched 	pp	structure_1
The forest of the animals pleased us	The forest of pleased us	The miner of the gold that had the impurities was worthless	The miner of was worthless 	adjunct	structure_1
The festival of the village entertained the guests	The festival of entertained the guests	The house of the painter that had the small windows looked odd	The house of looked odd	adjunct	structure_2
