demonstration	demon_label	test_sentence	response	attachment	structure
The architect designed the building	The architect designed	Dan entered the room with a window	Dan entered.	pp	structure_1
The gardener watered the plants	The gardener watered	Bill cut the paper with a very sharp knife	Bill cut paper.	pp	structure_2
The manager of the factory was efficient	The manager of was efficient	The church of the bishop that had the funny eyebrows looked odd	The church 	adjunct	structure_1
The forest of the animals pleased us	The forest of pleased us	The valley of the flowers that had the old castle excited the tourists	The valley of excited tourists.	adjunct	structure_2
The student solved the equation	The student solved	Michelle watched the movie with English subtitles	Michelle watched English subtitles movie.	pp	structure_1
The library of the school attracted many scholarse	The library of attracted many scholarse	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of had a nasty effect hurt everyone.	adjunct	structure_2
The fisherman caught the trout	The fisherman caught	The coach motivated the team with inspiring words	The coach motivated.	pp	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The painter of the house that had the small windows looked odd	The painted of had small windows looked odd.	adjunct	structure_1
The detective solved the mystery	The detective solved	Queen Elizabeth II ate the cake with a red rose	Queen Elizabeth II ate.	pp	structure_1
The song of the player is really popular	The song of is really popular	The car of the driver that had the moustache was pretty cool	The car of was pretty cool.	adjunct	structure_1
The baker kneaded the dough	The baker kneaded	The professor challenged the students with his projects	The professor challenged.	pp	structure_2
The photographer adjusted the lens	The photographer adjusted	Charles runs a photo studio with two floors	Charles runs photo studio.	pp	structure_1
The actor memorized the script	The actor memorized	The comedian saw the crowd with fresh flowers	The comedian saw crowd.	pp	structure_1
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The gold of the miner that had the impurities was worthless	The gold with impurities was worthless.	adjunct	structure_2
The gamer played the game	The gamer played	The magician amazed the participant with a fancy scene	The magician amazed participant.	pp	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense.	adjunct	structure_1
The mechanic fixed the engine	The mechanic fixed	The guy caught the rat with a scar	The guy caught.	pp	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The song of the singer that had long eyelashes was very smart	The song of was very smart.	adjunct	structure_1
The singer composed a song	The singer composed	The doctor saved the boy using a pacemaker	The doctor saved.	pp	structure_2
The designer of the dress took a bow	The designer of took a bow	The writer of the letter that had blonde hair arrived this morning	The writer of arrived this morning.	adjunct	structure_2
The chef seasoned the soup	The chef seasoned	Mom melted the chocolate with an iron pot	Mom melted chocolate.	pp	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The machine of the inventor that had the goatee was amazing	The machine of was amazing.	adjunct	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The restaurant of the chef that had the blue tiles pleased us	The restaurant of had blue tiles pleased us.	adjunct	structure_2
The director of the orchestra played well	The director of played well	The criminal of the gang that had a long scar disappeared last Monday	The criminal of had long scar disappeared last Monday.	adjunct	structure_2
