demonstration	demon_label	test_sentence	response	attachment	structure
The manager of the factory was efficient	The manager of was efficient	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of that had a nasty effect hurt everyone.	adjunct	structure_2
The designer of the dress took a bow	The designer of took a bow	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning	adjunct	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday.	adjunct	structure_1
The librarian sorted the books	The librarian sorted	The comedian entertained the crowd with witty jokes	The comedian entertained with witty jokes.	pp	structure_2
The attorney of the company bothered me	The attorney of bothered me	The singer of the song that had long eyelashes was very smart	The singer of was very smart	adjunct	structure_2
The teacher explained the concept	The teacher explained	the cook made the meal with a Chinese cleaver	The cook made with a Chinese cleaver	pp	structure_2
The park of the city delighted the children	The park of delighted the children	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked odd	adjunct	structure_2
The fisherman caught the trout	The fisherman caught	The magician amazed the participant with a fancy scene	The magician amazed with a fancy scene	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The driver of the car that had the moustache was pretty cool	The driver of was pretty cool	adjunct	structure_2
The sculptor chiseled the statue	The sculptor chiseled	Jasmine sang the song with romantic lyrics	Jasmine sang with romantic lyrics	pp	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The machine of the inventor that had the goatee was amazing	The machine of was amazing	adjunct	structure_1
The driver steered the car	The driver steered	The basketball player won the game with lots of audience	The basketball player won with lots of audience	pp	structure_1
The baker baked the cake	The baker baked	Bruce likes the rock band with different instruments	Bruce likes with different instruments	pp	structure_1
The chef seasoned the soup	The chef seasoned	The guy caught the rat with a scar	The guy caught	pp	structure_1
The photographer adjusted the lens	The photographer adjusted	Mom melted the chocolate with an iron pot	Mom melted with an iron pot	pp	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The valley of the flowers that had the old castle excited the tourists	The valley of excited the tourists	adjunct	structure_2
The architect designed the building	The architect designed	The coach motivated the team with inspiring words	The coach motivated with inspiring words	pp	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The house of the painter that had the small windows looked odd	The house of looked odd	adjunct	structure_2
The gamer played the game	The gamer played	The doctor noticed the boy using big headphones	The doctor noticed using big headphones	pp	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The miner of the gold that had the impurities was worthless	The miner of was worthless	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us	adjunct	structure_1
The baker kneaded the dough	The baker kneaded	Bill cut the paper with a very sharp knife	Bill cut with a very sharp knife	pp	structure_2
The student solved the equation	The student solved	Queen Elizabeth II ate the cake with a red rose	Queen Elizabeth II ate with a red rose	pp	structure_1
The plains of the tribe looked strange	The plains of looked strange	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense	adjunct	structure_1
