demonstration	demon_label	test_sentence	response	attachment	structure
The tailor altered the coat	The tailor altered	the cook ate the meal with some cauliflowers	The cook ate	pp	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The inventor of the machine that had the goatee was amazing	The inventor of the machine that had the goatee was amazing	adjunct	structure_2
The singer composed a song	The singer composed	Bill cut the paper with a very bright colour	Bill cut paper	pp	structure_1
The journalist reported the news	The journalist reported	The coach led the team with three members	The coach led	pp	structure_1
The detective solved the mystery	The detective solved	Queen Elizabeth II ate the cake with a silver fork	Queen Elizabeth II ate 	pp	structure_2
The hiker climbed the mountain	The hiker climbed	Bruce leads the rock band with his voice	Bruce leads rock band 	pp	structure_2
The chef cooked the meal	The chef cooked	Jasmine sang the song with the lovely students	Jasmine sang	pp	structure_2
The programmer wrote the code	The programmer wrote	The guy caught the rat with a trap	The guy caught	pp	structure_2
The bird sang a melody	The bird sang	The doctor saved the boy using a pacemaker	The doctor saved	pp	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The restaurant of the chef that had the blue tiles pleased us	The restaurant that had the blue tiles	adjunct	structure_2
The dancer performed the routine	The dancer performed	The basketball player won the game with his team	The basketball player won 	pp	structure_2
The gardener watered the plants	The gardener watered	The comedian saw the crowd with fresh flowers	The comedian saw 	pp	structure_1
The jeweler polished the diamond	The jeweler polished	The magician thanked the participant with a big nose	The magician thanked	pp	structure_1
The king of the mountain impressed Arthur	The king of impressed Arthur	The flowers of the valley that had the old castle excited the tourists	The flowers of the tourists	adjunct	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense	adjunct	structure_2
The pilot flew the airplane	The pilot flew	Mom ate the chocolate with chopped nuts	Mom ate 	pp	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The church of the bishop that had the funny eyebrows looked odd	The church of looked odd	adjunct	structure_1
The artist of the mural completed his work	The artist of completed his work	The writer of the letter that had blonde hair arrived this morning	The writer of arrived this morning	adjunct	structure_2
The house of the painter looked odd	The house of looked odd	The criminal of the gang that had a long scar disappeared last Monday	The criminal of disappeared 	adjunct	structure_2
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of hurt everyone 	adjunct	structure_1
The director of the orchestra played well	The director of played well	The song of the singer that had long eyelashes was very smart	The song of was very smart	adjunct	structure_1
The gallery of the center impressed the critics	The gallery of impressed the critics	The painter of the house that had the small windows looked odd	The painter of looked odd	adjunct	structure_1
The forest of the animals pleased us	The forest of pleased us	The gold of the miner that had the impurities was worthless	The gold of was worthless	adjunct	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The car of the driver that had the moustache was pretty cool	The car of was pretty cool	adjunct	structure_1
