demonstration	demon_label	test_sentence	response	attachment	structure
The library of the school attracted many scholarse	The library of attracted many scholarse	The gold of the miner that had the impurities was worthless	The gold of impurities was worthless. 	adjunct	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The flowers of the valley that had the old castle excited the tourists	The flowers of excited the tourists'. 	adjunct	structure_1
The sculptor chiseled the statue	The sculptor chiseled	Mom ate the chocolate with chopped nuts	Mom ate. 	pp	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The church of the bishop that had the funny eyebrows looked odd	The church of looked odd. 	adjunct	structure_1
The gallery of the center impressed the critics	The gallery of impressed the critics	The writer of the letter that had blonde hair arrived this morning	The writer of arrived this morning. 	adjunct	structure_2
The bakery of the district tempted the locals	The bakery of tempted the locals	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense. 	adjunct	structure_2
The pilot flew the airplane	The pilot flew	Bruce likes the rock band with different instruments	Bruce likes. 	pp	structure_1
The musician tuned the guitar	The musician tuned	The police investigated the house with the permission	The police investigated. 	pp	structure_2
The attorney of the company bothered me	The attorney of bothered me	The house of the painter that had the small windows looked odd	The house of looked odd. 	adjunct	structure_2
The park of the city delighted the children	The park of delighted the children	The car of the driver that had the moustache was pretty cool	The car of was pretty cool. 	adjunct	structure_1
The baker baked the cake	The baker baked	Dan entered the room with a window	Dan entered. 	pp	structure_1
The singer composed a song	The singer composed	The comedian entertained the crowd with witty jokes	The comedian entertained. 	pp	structure_2
The jeweler polished the diamond	The jeweler polished	The basketball player won the game with his team	The basketball player won. 	pp	structure_2
The student solved the equation	The student solved	The doctor saved the boy using a pacemaker	The doctor saved. 	pp	structure_2
The detective solved the mystery	The detective solved	Bill cut the paper with a very sharp knife	Bill cut. 	pp	structure_2
The journalist reported the news	The journalist reported	The magician amazed the participant with a fancy scene	The magician amazed. 	pp	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The song of the singer that had long eyelashes was very smart	The song of was very smart. 	adjunct	structure_1
The photographer adjusted the lens	The photographer adjusted	Queen Elizabeth II ate the cake with a red rose	Queen Elizabeth II ate. 	pp	structure_1
The director of the orchestra played well	The director of played well	The criminal of the gang that had a long scar disappeared last Monday	The criminal of disappeared last Monday. 	adjunct	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us. 	adjunct	structure_2
The dancer performed the routine	The dancer performed	Van Gogh drew the paintings with starry night	Van Gogh drew.	pp	structure_1
The gardener watered the plants	The gardener watered	Charles runs a photo studio with two floors	Charles runs.	pp	structure_1
The forest of the animals pleased us	The forest of pleased us	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of hurt everyone. 	adjunct	structure_1
The designer of the dress took a bow	The designer of took a bow	The machine of the inventor that had the goatee was amazing	The machine of was amazing.	adjunct	structure_1
