demonstration	demon_label	test_sentence	response	attachment	structure
The chef seasoned the soup	The chef seasoned	Charles runs a photo studio with two friends	Charles runs	pp	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The letter of the writer that had blonde hair arrived this morning	The letter of that had blonde hair arrived this morning	adjunct	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The criminal of the gang that had a long scar disappeared last Monday	The criminal of that had a long scar disappeared last Monday	adjunct	structure_2
The sculptor chiseled the statue	The sculptor chiseled	Bill cut the paper with a very sharp knife	Bill cut	pp	structure_2
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The chef of the restaurant that had the blue tiles pleased us	The chef of that had the blue tiles pleased us	adjunct	structure_1
The mechanic fixed the engine	The mechanic fixed	Bruce leads the rock band with his voice	Bruce leads	pp	structure_2
The forest of the animals pleased us	The forest of pleased us	The singer of the song that had long eyelashes was very smart	The singer of that had long eyelashes was very smart	adjunct	structure_2
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The house of the painter that had the small windows looked odd	The house of that had the small windows looked odd	adjunct	structure_2
The bakery of the district tempted the locals	The bakery of tempted the locals	The driver of the car that had the moustache was pretty cool	The driver of that had the moustache was pretty cool	adjunct	structure_2
The park of the city delighted the children	The park of delighted the children	The bishop of the church that had the funny eyebrows looked odd	The bishop of that had the funny eyebrows looked odd	adjunct	structure_2
The gardener watered the plants	The gardener watered	The guy caught the rat with a trap	The guy caught	pp	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of that had a nasty effect hurt everyone	adjunct	structure_2
The gamer played the game	The gamer played	Mom ate the chocolate with chopped nuts	Mom ate	pp	structure_1
The dancer performed the routine	The dancer performed	Dan entered the room with a window	Dan entered	pp	structure_1
The chef cooked the meal	The chef cooked	The professor challenged the students with his projects	The professor challenged	pp	structure_2
The pilot flew the airplane	The pilot flew	Jasmine sang the song with romantic lyrics	Jasmine sang	pp	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The miner of the gold that had the impurities was worthless	The miner of that had the impurities was worthless	adjunct	structure_1
The attorney of the company bothered me	The attorney of bothered me	The thesis of the editor that had the big nose made a lot of sense	The thesis of that had the big nose made a lot of sense	adjunct	structure_1
The programmer wrote the code	The programmer wrote	Michelle watched the movie with English subtitles	Michelle watched	pp	structure_1
The song of the player is really popular	The song of is really popular	The machine of the inventor that had the goatee was amazing	The machine of that had the goatee was amazing	adjunct	structure_1
The baker kneaded the dough	The baker kneaded	The comedian saw the crowd with fresh flowers	The comedian saw	pp	structure_1
The collection of the store fascinated the students	The collection of fascinated the students	The flowers of the valley that had the old castle excited the tourists	The flowers of that had the old castle excited the tourists	adjunct	structure_1
The teacher explained the concept	The teacher explained	The police investigated the house with the permission	The police investigated	pp	structure_2
The architect designed the building	The architect designed	Queen Elizabeth II ate the cake with a red rose	Queen Elizabeth II ate	pp	structure_1
