demonstration	demon_label	test_sentence	response	attachment	structure
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The inventor of the machine that had the goatee was amazing	The inventor of the goatee was amazing.	adjunct	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The letter of the writer that had blonde hair arrived this morning	The letter of that had blonde hair arrived this morning.	adjunct	structure_1
The journalist reported the news	The journalist reported	Michelle watched the movie with her boyfriend	Michelle watched.	pp	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The painter of the house that had the small windows looked odd	The painter of had the small windows looked odd.	adjunct	structure_1
The king of the mountain impressed Arthur	The king of impressed Arthur	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of hurt everyone.	adjunct	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The church of the bishop that had the funny eyebrows looked odd	The church of had the funny eyebrows looked odd.	adjunct	structure_1
The programmer wrote the code	The programmer wrote	Queen Elizabeth II ate the cake with a silver fork	Queen Elizabeth II ate.	pp	structure_2
The director of the orchestra played well	The director of played well	The driver of the car that had the moustache was pretty cool	The driver of was pretty cool.	adjunct	structure_2
The song of the player is really popular	The song of is really popular	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us.	adjunct	structure_2
The sculptor chiseled the statue	The sculptor chiseled	The guy caught the rat with a scar	The guy caught.	pp	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The song of the singer that had long eyelashes was very smart	The song of was very smart.	adjunct	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The flowers of the valley that had the old castle excited the tourists	The flowers of excited the tourists.	adjunct	structure_1
The driver steered the car	The driver steered	The police investigated the house with the permission	The police investigated.	pp	structure_2
The mechanic fixed the engine	The mechanic fixed	The coach motivated the team with inspiring words	The coach motivated.	pp	structure_2
The house of the painter looked odd	The house of looked odd	The criminal of the gang that had a long scar disappeared last Monday	The criminal of disappeared last Monday.	adjunct	structure_2
The chef seasoned the soup	The chef seasoned	Bill cut the paper with a very bright colour	Bill cut.	pp	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense.	adjunct	structure_2
The fisherman caught the trout	The fisherman caught	Bruce likes the rock band with different instruments	Bruce likes.	pp	structure_1
The manager of the factory was efficient	The manager of was efficient	The gold of the miner that had the impurities was worthless	The gold of was worthless.	adjunct	structure_2
The gamer played the game	The gamer played	Van Gogh drew the paintings with starry night	Van Gogh drew.	pp	structure_1
The student solved the equation	The student solved	The magician amazed the participant with a fancy scene	The magician amazed.	pp	structure_2
The gardener watered the plants	The gardener watered	Jasmine sang the song with romantic lyrics	Jasmine sang.	pp	structure_1
The singer composed a song	The singer composed	The professor challenged the students with his projects	The professor challenged.	pp	structure_2
The bird sang a melody	The bird sang	The doctor noticed the boy using big headphones	The doctor noticed.	pp	structure_1
