demonstration	demon_label	test_sentence	response	attachment	structure
The library of the school attracted many scholarse	The library of attracted many scholarse	The editor of the thesis that had the big nose made a lot of sense	the editor of that had the big nose made a lot of sense	adjunct	structure_2
The actor memorized the script	The actor memorized	The doctor saved the boy using a pacemaker	the doctor saved the boy	pp	structure_2
The manager of the factory was efficient	The manager of was efficient	The singer of the song that had long eyelashes was very smart	the singer of was very smart	adjunct	structure_2
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The painter of the house that had the small windows looked odd	fail to follow	adjunct	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The gold of the miner that had the impurities was worthless	the gold of that had the impurities was worthless	adjunct	structure_2
The lawyer argued the case	The lawyer argued	Bill cut the paper with a very sharp knife	bill cut the paper	pp	structure_2
The librarian sorted the books	The librarian sorted	The magician thanked the participant with a big nose	the magician thanked the participant	pp	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The inventor of the machine that had the goatee was amazing	the inventor of amazing	adjunct	structure_2
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of that had a nasty effect hurt everyone	adjunct	structure_2
The musician tuned the guitar	The musician tuned	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate with a red rose	pp	structure_1
The student read the book	The student read	Michelle watched the movie with her boyfriend	michelle watched	pp	structure_2
The chef seasoned the soup	The chef seasoned	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The church of the bishop that had the funny eyebrows looked odd	the church of that looked odd	adjunct	structure_1
The singer composed a song	The singer composed	The basketball player won the game with lots of audience	the basketball player won the game	pp	structure_1
The teacher explained the concept	The teacher explained	Mom melted the chocolate with an iron pot	mom melted	pp	structure_2
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The restaurant of the chef that had the blue tiles pleased us	fail to follow	adjunct	structure_2
The dancer performed the routine	The dancer performed	Dan entered the room with a window	dan entered the room	pp	structure_1
The gallery of the center impressed the critics	The gallery of impressed the critics	The car of the driver that had the moustache was pretty cool	the car of the driver was pretty cool	adjunct	structure_1
The student solved the equation	The student solved	Van Gogh drew the paintings with starry night	van gogh drew	pp	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The gang of the criminal that had a long scar disappeared last Monday	the gang of that had a long scar disappeared last monday	adjunct	structure_1
The journalist reported the news	The journalist reported	The coach motivated the team with inspiring words	the coach motivated the team	pp	structure_2
The detective solved the mystery	The detective solved	The guy caught the rat with a scar	the guy caught	pp	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The letter of the writer that had blonde hair arrived this morning	the letter of that arrived this morning	adjunct	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The flowers of the valley that had the old castle excited the tourists	the flowers of excited the tourists	adjunct	structure_1
