demonstration	demon_label	test_sentence	response	attachment	structure
The director of the orchestra played well	The director of played well	The bishop of the church that had the funny eyebrows looked odd	the bishop of looked odd	adjunct	structure_2
The librarian sorted the books	The librarian sorted	Dan entered the room with a key	dan entered the room	pp	structure_2
The dancer performed the routine	The dancer performed	the cook ate the meal with some cauliflowers	the cook ate the meal	pp	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The letter of the writer that had blonde hair arrived this morning	the letter of arrived this morning	adjunct	structure_1
The forest of the animals pleased us	The forest of pleased us	The gang of the criminal that had a long scar disappeared last Monday	the gang of disappeared last monday	adjunct	structure_1
The gallery of the center impressed the critics	The gallery of impressed the critics	The song of the singer that had long eyelashes was very smart	the song of the singer was very smart	adjunct	structure_1
The lawyer argued the case	The lawyer argued	The doctor saved the boy using a pacemaker	the doctor saved the boy	pp	structure_2
The fisherman caught the trout	The fisherman caught	Mom ate the chocolate with chopped nuts	mom ate the chocolate	pp	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The inventor of the machine that had the goatee was amazing	fail to follow	adjunct	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The flowers of the valley that had the old castle excited the tourists	the flowers of that had excited the tourists	adjunct	structure_1
The baker baked the cake	The baker baked	Michelle watched the movie with English subtitles	michelle watched	pp	structure_1
The song of the player is really popular	The song of is really popular	The gold of the miner that had the impurities was worthless	the gold of that had the impurities was worthless	adjunct	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The house of the painter that had the small windows looked odd	the house of the painter looked odd	adjunct	structure_2
The attorney of the company bothered me	The attorney of bothered me	The editor of the thesis that had the big nose made a lot of sense	the editor of that had the big nose made a lot of sense	adjunct	structure_2
The detective solved the mystery	The detective solved	Van Gogh sold the paintings with a broken heart	van gogh sold	pp	structure_2
The house of the painter looked odd	The house of looked odd	The driver of the car that had the moustache was pretty cool	the driver of that was pretty cool	adjunct	structure_2
The gamer played the game	The gamer played	The basketball player won the game with his team	the basketball player won with his team	pp	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The chef of the restaurant that had the blue tiles pleased us	the chef of that had pleased us	adjunct	structure_1
The chef cooked the meal	The chef cooked	The guy caught the rat with a scar	the guy caught the rat	pp	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The supplier of the drugs that had a nasty effect hurt everyone	the supplier of hurt everyone	adjunct	structure_1
The programmer wrote the code	The programmer wrote	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate the cake	pp	structure_1
The sculptor chiseled the statue	The sculptor chiseled	Jasmine sang the song with romantic lyrics	jasmine sang the song	pp	structure_1
The actor memorized the script	The actor memorized	Bruce leads the rock band with his voice	bruce leads the rock band	pp	structure_2
The bird sang a melody	The bird sang	The coach motivated the team with inspiring words	the coach motivated the team	pp	structure_2
