demonstration	demon_label	test_sentence	response	attachment	structure
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The flowers of the valley that had the old castle excited the tourists	the flowers of excited the tourists	adjunct	structure_1
The driver steered the car	The driver steered	the cook ate the meal with some cauliflowers	the cook ate the meal	pp	structure_1
The baker kneaded the dough	The baker kneaded	The coach led the team with three members	the coach led the team	pp	structure_1
The chef cooked the meal	The chef cooked	Queen Elizabeth II ate the cake with a silver fork	queen elizabeth ii ate the cake	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The gold of the miner that had the impurities was worthless	the gold of that was worthless	adjunct	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The thesis of the editor that had the big nose made a lot of sense	the thesis of the editor that had made a lot of sense	adjunct	structure_1
The designer of the dress took a bow	The designer of took a bow	The house of the painter that had the small windows looked odd	the house of that had the small windows looked odd	adjunct	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The drugs of the supplier that had a nasty effect hurt everyone	the drugs that hurt everyone	adjunct	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The machine of the inventor that had the goatee was amazing	fail to follow	adjunct	structure_1
The plains of the tribe looked strange	The plains of looked strange	The singer of the song that had long eyelashes was very smart	the singer of was very smart	adjunct	structure_2
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The church of the bishop that had the funny eyebrows looked odd	fail to follow	adjunct	structure_1
The baker baked the cake	The baker baked	Mom melted the chocolate with an iron pot	mom melted	pp	structure_2
The architect designed the building	The architect designed	The doctor noticed the boy using big headphones	the doctor noticed	pp	structure_1
The mechanic fixed the engine	The mechanic fixed	The police investigated the house with a garden	the police investigated	pp	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The driver of the car that had the moustache was pretty cool	the driver of had the moustache was pretty cool	adjunct	structure_2
The gamer played the game	The gamer played	The basketball player won the game with his team	the basketball player won with his team	pp	structure_2
The chef seasoned the soup	The chef seasoned	The comedian entertained the crowd with witty jokes	the comedian entertained	pp	structure_2
The sculptor chiseled the statue	The sculptor chiseled	Charles runs a photo studio with two floors	charles runs a photo studio	pp	structure_1
The pilot flew the airplane	The pilot flew	Bill cut the paper with a very sharp knife	bill cut	pp	structure_2
The song of the player is really popular	The song of is really popular	The criminal of the gang that had a long scar disappeared last Monday	the criminal of that had a long scar disappeared last monday	adjunct	structure_2
The jeweler polished the diamond	The jeweler polished	Jasmine sang the song with the lovely students	jasmine sang	pp	structure_2
The forest of the animals pleased us	The forest of pleased us	The letter of the writer that had blonde hair arrived this morning	the letter of arrived this morning	adjunct	structure_1
The lawyer argued the case	The lawyer argued	The magician thanked the participant with a big nose	the magician thanked the participant	pp	structure_1
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The chef of the restaurant that had the blue tiles pleased us	fail to follow	adjunct	structure_1
