demonstration	demon_label	test_sentence	response	attachment	structure
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The bishop of the church that had the funny eyebrows looked odd	the bishop of looked odd	adjunct	structure_2
The designer of the dress took a bow	The designer of took a bow	The song of the singer that had long eyelashes was very smart	the song of that had long eyelashes was very smart	adjunct	structure_1
The manager of the factory was efficient	The manager of was efficient	The machine of the inventor that had the goatee was amazing	the machine of that had the goatee was amazing	adjunct	structure_1
The journalist reported the news	The journalist reported	Michelle watched the movie with English subtitles	michelle watched the movie	pp	structure_1
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The painter of the house that had the small windows looked odd	the painter of the house looked odd	adjunct	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The car of the driver that had the moustache was pretty cool	the car of had the moustache was pretty cool	adjunct	structure_1
The pilot flew the airplane	The pilot flew	Bruce likes the rock band with different instruments	bruce likes the rock band	pp	structure_1
The plains of the tribe looked strange	The plains of looked strange	The valley of the flowers that had the old castle excited the tourists	the valley of excited the tourists	adjunct	structure_2
The lawyer argued the case	The lawyer argued	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The writer of the letter that had blonde hair arrived this morning	the writer of arrived this morning	adjunct	structure_2
The sculptor chiseled the statue	The sculptor chiseled	Bill cut the paper with a very bright colour	bill cut the paper	pp	structure_1
The forest of the animals pleased us	The forest of pleased us	The editor of the thesis that had the big nose made a lot of sense	the editor of made a lot of sense	adjunct	structure_2
The chef seasoned the soup	The chef seasoned	The comedian saw the crowd with fresh flowers	the comedian saw the crowd	pp	structure_1
The chef cooked the meal	The chef cooked	The basketball player won the game with lots of audience	the basketball player won	pp	structure_1
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The chef of the restaurant that had the blue tiles pleased us	fail to follow	adjunct	structure_1
The detective solved the mystery	The detective solved	The guy caught the rat with a trap	the guy caught	pp	structure_2
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The criminal of the gang that had a long scar disappeared last Monday	the criminal of the gang that disappeared last monday	adjunct	structure_2
The carpenter built the house	The carpenter built	Queen Elizabeth II ate the cake with a silver fork	queen elizabeth ii ate with a silver fork	pp	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The gold of the miner that had the impurities was worthless	the gold of that had the impurities was worthless	adjunct	structure_2
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The supplier of the drugs that had a nasty effect hurt everyone	the supplier of that had a nasty effect hurt everyone	adjunct	structure_1
The dancer performed the routine	The dancer performed	The police investigated the house with the permission	the police investigated the house	pp	structure_2
The tailor altered the coat	The tailor altered	Mom ate the chocolate with chopped nuts	mom ate the chocolate	pp	structure_1
The driver steered the car	The driver steered	Van Gogh sold the paintings with a broken heart	van gogh sold the paintings	pp	structure_2
The student solved the equation	The student solved	the cook made the meal with a Chinese cleaver	the cook made the meal	pp	structure_2
