demonstration	demon_label	test_sentence	response	attachment	structure
The mansion of the celebrity excited the fans	The mansion of excited the fans	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of hurt everyone	adjunct	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The driver of the car that had the moustache was pretty cool	the driver of that had the moustache was pretty cool	adjunct	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The valley of the flowers that had the old castle excited the tourists	the valley of excited the tourists	adjunct	structure_2
The actor memorized the script	The actor memorized	the cook ate the meal with some cauliflowers	the cook ate the meal	pp	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The letter of the writer that had blonde hair arrived this morning	the letter of that had blonde hair arrived this morning	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The chef of the restaurant that had the blue tiles pleased us	the chef of that had pleased us	adjunct	structure_1
The dancer performed the routine	The dancer performed	The basketball player won the game with his team	the basketball player won the game	pp	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The singer of the song that had long eyelashes was very smart	the singer of long eyelashes was very smart	adjunct	structure_2
The chef seasoned the soup	The chef seasoned	Michelle watched the movie with her boyfriend	michelle watched	pp	structure_2
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The thesis of the editor that had the big nose made a lot of sense	fail to follow	adjunct	structure_1
The manager of the factory was efficient	The manager of was efficient	The painter of the house that had the small windows looked odd	the painter of looked odd	adjunct	structure_1
The forest of the animals pleased us	The forest of pleased us	The machine of the inventor that had the goatee was amazing	the machine of amazing	adjunct	structure_1
The driver steered the car	The driver steered	The comedian saw the crowd with fresh flowers	the comedian saw the crowd	pp	structure_1
The director of the orchestra played well	The director of played well	The bishop of the church that had the funny eyebrows looked odd	the bishop of looked odd	adjunct	structure_2
The chef cooked the meal	The chef cooked	The guy caught the rat with a trap	the guy caught the rat	pp	structure_2
The gardener watered the plants	The gardener watered	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The criminal of the gang that had a long scar disappeared last Monday	the criminal of disappeared last monday	adjunct	structure_2
The carpenter built the house	The carpenter built	Jasmine sang the song with romantic lyrics	jasmine sang with romantic lyrics	pp	structure_1
The librarian sorted the books	The librarian sorted	The doctor saved the boy using a pacemaker	the doctor saved the boy	pp	structure_2
The architect designed the building	The architect designed	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate with a red rose	pp	structure_1
The bird sang a melody	The bird sang	Van Gogh sold the paintings with a broken heart	van gogh sold the paintings	pp	structure_2
The lawyer argued the case	The lawyer argued	The police investigated the house with a garden	the police investigated	pp	structure_1
The detective solved the mystery	The detective solved	Bill cut the paper with a very bright colour	bill cut the paper	pp	structure_1
The attorney of the company bothered me	The attorney of bothered me	The miner of the gold that had the impurities was worthless	the miner of was worthless	adjunct	structure_1
