demonstration	demon_label	test_sentence	response	attachment	structure
The bird sang a melody	The bird sang	The coach motivated the team with inspiring words	the coach motivated the team	pp	structure_2
The park of the city delighted the children	The park of delighted the children	The driver of the car that had the moustache was pretty cool	the driver of had the moustache was pretty cool	adjunct	structure_2
The dancer performed the routine	The dancer performed	The comedian saw the crowd with fresh flowers	the comedian saw the crowd	pp	structure_1
The baker kneaded the dough	The baker kneaded	Michelle watched the movie with her boyfriend	michelle watched	pp	structure_2
The designer of the dress took a bow	The designer of took a bow	The machine of the inventor that had the goatee was amazing	the machine of that had the goatee was amazing	adjunct	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The gold of the miner that had the impurities was worthless	the gold of the miner was worthless	adjunct	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The thesis of the editor that had the big nose made a lot of sense	the thesis of that had made a lot of sense	adjunct	structure_1
The programmer wrote the code	The programmer wrote	Jasmine sang the song with romantic lyrics	jasmine sang the song	pp	structure_1
The photographer adjusted the lens	The photographer adjusted	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
The singer composed a song	The singer composed	Bill cut the paper with a very sharp knife	bill cut the paper	pp	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The painter of the house that had the small windows looked odd	the painter of the house looked odd	adjunct	structure_1
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The bishop of the church that had the funny eyebrows looked odd	the bishop of looked odd	adjunct	structure_2
The pilot flew the airplane	The pilot flew	the cook made the meal with a Chinese cleaver	the cook made the meal	pp	structure_2
The house of the painter looked odd	The house of looked odd	The valley of the flowers that had the old castle excited the tourists	the valley of that had excited the tourists	adjunct	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The letter of the writer that had blonde hair arrived this morning	the letter of that arrived this morning	adjunct	structure_1
The baker baked the cake	The baker baked	The doctor noticed the boy using big headphones	the doctor noticed	pp	structure_1
The manager of the factory was efficient	The manager of was efficient	The gang of the criminal that had a long scar disappeared last Monday	the gang of disappeared last monday	adjunct	structure_1
The hiker climbed the mountain	The hiker climbed	The magician thanked the participant with a big nose	the magician thanked the participant	pp	structure_1
The actor memorized the script	The actor memorized	Dan entered the room with a window	dan entered the room	pp	structure_1
The director of the orchestra played well	The director of played well	The singer of the song that had long eyelashes was very smart	the singer of was very smart	adjunct	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The restaurant of the chef that had the blue tiles pleased us	the restaurant of pleased us	adjunct	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The supplier of the drugs that had a nasty effect hurt everyone	the supplier of hurt everyone	adjunct	structure_1
The teacher explained the concept	The teacher explained	The professor recruited the students with black eyes	the professor recruited the students	pp	structure_1
The sculptor chiseled the statue	The sculptor chiseled	Bruce leads the rock band with his voice	bruce leads	pp	structure_2
