demonstration	demon_label	test_sentence	response	attachment	structure
The mechanic fixed the engine	The mechanic fixed	The doctor saved the boy using a pacemaker	the doctor saved	pp	structure_2
The plains of the tribe looked strange	The plains of looked strange	The restaurant of the chef that had the blue tiles pleased us	the restaurant of pleased us	adjunct	structure_2
The singer composed a song	The singer composed	The guy caught the rat with a scar	the guy caught the rat	pp	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The singer of the song that had long eyelashes was very smart	the singer of that was very smart	adjunct	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The painter of the house that had the small windows looked odd	the painter of the house looked odd	adjunct	structure_1
The king of the mountain impressed Arthur	The king of impressed Arthur	The driver of the car that had the moustache was pretty cool	the driver of had the moustache was pretty cool	adjunct	structure_2
The lawyer argued the case	The lawyer argued	The comedian saw the crowd with fresh flowers	the comedian saw the crowd	pp	structure_1
The chef cooked the meal	The chef cooked	Van Gogh sold the paintings with a broken heart	van gogh sold the paintings	pp	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of hurt everyone	adjunct	structure_2
The carpenter built the house	The carpenter built	The basketball player won the game with his team	the basketball player won with his team	pp	structure_2
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The thesis of the editor that had the big nose made a lot of sense	the thesis of that made a lot of sense	adjunct	structure_1
The collection of the store fascinated the students	The collection of fascinated the students	The church of the bishop that had the funny eyebrows looked odd	the church of that looked odd	adjunct	structure_1
The park of the city delighted the children	The park of delighted the children	The writer of the letter that had blonde hair arrived this morning	the writer of blonde hair arrived this morning	adjunct	structure_2
The photographer adjusted the lens	The photographer adjusted	The police investigated the house with the permission	the police investigated	pp	structure_2
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The gold of the miner that had the impurities was worthless	the gold of that had the impurities was worthless	adjunct	structure_2
The driver steered the car	The driver steered	Bruce likes the rock band with different instruments	bruce likes the rock band	pp	structure_1
The dancer performed the routine	The dancer performed	Jasmine sang the song with romantic lyrics	jasmine sang the song	pp	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The gang of the criminal that had a long scar disappeared last Monday	the gang of disappeared last monday	adjunct	structure_1
The baker baked the cake	The baker baked	the cook ate the meal with some cauliflowers	the cook ate	pp	structure_1
The chef seasoned the soup	The chef seasoned	The coach motivated the team with inspiring words	the coach motivated	pp	structure_2
The detective solved the mystery	The detective solved	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate	pp	structure_1
The sculptor chiseled the statue	The sculptor chiseled	Dan entered the room with a key	dan entered the room	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The flowers of the valley that had the old castle excited the tourists	the flowers of that had excited the tourists	adjunct	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The machine of the inventor that had the goatee was amazing	the machine of that had the goatee was amazing	adjunct	structure_1
