demonstration	demon_label	test_sentence	response	attachment	structure
The park of the city delighted the children	The park of delighted the children	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of nasty effect hurt everyone	adjunct	structure_2
The driver steered the car	The driver steered	Van Gogh drew the paintings with starry night	van gogh drew the paintings	pp	structure_1
The musician tuned the guitar	The musician tuned	The coach motivated the team with inspiring words	the coach motivated	pp	structure_2
The baker kneaded the dough	The baker kneaded	The professor recruited the students with black eyes	the professor recruited the students	pp	structure_1
The pilot flew the airplane	The pilot flew	The doctor noticed the boy using big headphones	the doctor noticed the boy	pp	structure_1
The baker baked the cake	The baker baked	The police investigated the house with the permission	the police investigated	pp	structure_2
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The thesis of the editor that had the big nose made a lot of sense	the thesis of that made a lot of sense	adjunct	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The song of the singer that had long eyelashes was very smart	the song of the singer was very smart	adjunct	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The gold of the miner that had the impurities was worthless	the gold of that had the impurities was worthless	adjunct	structure_2
The student solved the equation	The student solved	the cook made the meal with a Chinese cleaver	the cook made the meal	pp	structure_2
The lawyer argued the case	The lawyer argued	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate the cake	pp	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The bishop of the church that had the funny eyebrows looked odd	fail to follow	adjunct	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The machine of the inventor that had the goatee was amazing	the machine of that had the goatee was amazing	adjunct	structure_1
The student read the book	The student read	Bill cut the paper with a very bright colour	bill cut the paper	pp	structure_1
The song of the player is really popular	The song of is really popular	The criminal of the gang that had a long scar disappeared last Monday	the criminal of that had a long scar disappeared last monday	adjunct	structure_2
The designer of the dress took a bow	The designer of took a bow	The driver of the car that had the moustache was pretty cool	the driver of that had the moustache was pretty cool	adjunct	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The chef of the restaurant that had the blue tiles pleased us	the chef of that pleased us	adjunct	structure_1
The tailor altered the coat	The tailor altered	The magician amazed the participant with a fancy scene	the magician amazed	pp	structure_2
The manager of the factory was efficient	The manager of was efficient	The house of the painter that had the small windows looked odd	the house of that had the small windows looked odd	adjunct	structure_2
The carpenter built the house	The carpenter built	The comedian saw the crowd with fresh flowers	the comedian saw	pp	structure_1
The attorney of the company bothered me	The attorney of bothered me	The letter of the writer that had blonde hair arrived this morning	the letter of arrived this morning	adjunct	structure_1
The forest of the animals pleased us	The forest of pleased us	The flowers of the valley that had the old castle excited the tourists	the flowers of excited the tourists	adjunct	structure_1
The librarian sorted the books	The librarian sorted	Michelle watched the movie with her boyfriend	michelle watched	pp	structure_2
The jeweler polished the diamond	The jeweler polished	Charles runs a photo studio with two friends	charles runs	pp	structure_2
