demonstration	demon_label	test_sentence	response	attachment	structure
The teacher explained the concept	The teacher explained	The professor recruited the students with black eyes	the professor recruited the students	pp	structure_1
The student solved the equation	The student solved	Mom ate the chocolate with chopped nuts	mom ate the chocolate	pp	structure_1
The sculptor chiseled the statue	The sculptor chiseled	The doctor noticed the boy using big headphones	the doctor noticed the boy	pp	structure_1
The director of the orchestra played well	The director of played well	The inventor of the machine that had the goatee was amazing	the inventor of was amazing	adjunct	structure_2
The tailor altered the coat	The tailor altered	the cook ate the meal with some cauliflowers	the cook ate	pp	structure_1
The house of the painter looked odd	The house of looked odd	The flowers of the valley that had the old castle excited the tourists	the flowers of that had excited the tourists	adjunct	structure_1
The song of the player is really popular	The song of is really popular	The miner of the gold that had the impurities was worthless	the miner of that had the impurities was worthless	adjunct	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The thesis of the editor that had the big nose made a lot of sense	the thesis of that had the big nose made a lot of sense	adjunct	structure_1
The hiker climbed the mountain	The hiker climbed	Van Gogh sold the paintings with a broken heart	van gogh sold	pp	structure_2
The baker kneaded the dough	The baker kneaded	The magician amazed the participant with a fancy scene	the magician amazed	pp	structure_2
The chef cooked the meal	The chef cooked	Jasmine sang the song with romantic lyrics	jasmine sang the song	pp	structure_1
The designer of the dress took a bow	The designer of took a bow	The house of the painter that had the small windows looked odd	the house of that had the small windows looked odd	adjunct	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The church of the bishop that had the funny eyebrows looked odd	the church of that had the funny eyebrows looked odd	adjunct	structure_1
The fisherman caught the trout	The fisherman caught	Bruce leads the rock band with his voice	bruce leads	pp	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The car of the driver that had the moustache was pretty cool	the car of that had the moustache was pretty cool	adjunct	structure_1
The mechanic fixed the engine	The mechanic fixed	Bill cut the paper with a very sharp knife	bill cut	pp	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The supplier of the drugs that had a nasty effect hurt everyone	the supplier of had a nasty effect hurt everyone	adjunct	structure_1
The gamer played the game	The gamer played	The comedian entertained the crowd with witty jokes	the comedian entertained the crowd	pp	structure_2
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The restaurant of the chef that had the blue tiles pleased us	fail to follow	adjunct	structure_2
The singer composed a song	The singer composed	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate the cake	pp	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The criminal of the gang that had a long scar disappeared last Monday	the criminal of the gang that disappeared last monday	adjunct	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The writer of the letter that had blonde hair arrived this morning	the writer of arrived this morning	adjunct	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The singer of the song that had long eyelashes was very smart	fail to follow	adjunct	structure_2
The photographer adjusted the lens	The photographer adjusted	The coach motivated the team with inspiring words	the coach motivated	pp	structure_2
