demonstration	demon_label	test_sentence	response	attachment	structure
The chef seasoned the soup	The chef seasoned	Jasmine sang the song with the lovely students	jasmine sang	pp	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The song of the singer that had long eyelashes was very smart	the song of was very smart	adjunct	structure_1
The student solved the equation	The student solved	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
The bakery of the district tempted the locals	The bakery of tempted the locals	The house of the painter that had the small windows looked odd	the house of the painter looked odd	adjunct	structure_2
The mechanic fixed the engine	The mechanic fixed	the cook ate the meal with some cauliflowers	the cook ate	pp	structure_1
The lawyer argued the case	The lawyer argued	Queen Elizabeth II ate the cake with a silver fork	queen elizabeth ii ate the cake	pp	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of hurt everyone	adjunct	structure_2
The director of the orchestra played well	The director of played well	The car of the driver that had the moustache was pretty cool	the car of the driver was pretty cool	adjunct	structure_1
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The thesis of the editor that had the big nose made a lot of sense	fail to follow	adjunct	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The criminal of the gang that had a long scar disappeared last Monday	the criminal of that had a long scar disappeared last monday	adjunct	structure_2
The student read the book	The student read	Mom melted the chocolate with an iron pot	mom melted the chocolate	pp	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The church of the bishop that had the funny eyebrows looked odd	the church of looked odd	adjunct	structure_1
The jeweler polished the diamond	The jeweler polished	The coach motivated the team with inspiring words	the coach motivated	pp	structure_2
The attorney of the company bothered me	The attorney of bothered me	The gold of the miner that had the impurities was worthless	the gold of that had the impurities was worthless	adjunct	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The restaurant of the chef that had the blue tiles pleased us	fail to follow	adjunct	structure_2
The singer composed a song	The singer composed	Michelle watched the movie with English subtitles	michelle watched the movie	pp	structure_1
The teacher explained the concept	The teacher explained	Dan entered the room with a window	dan entered the room	pp	structure_1
The gardener watered the plants	The gardener watered	The doctor saved the boy using a pacemaker	the doctor saved the boy	pp	structure_2
The journalist reported the news	The journalist reported	The comedian saw the crowd with fresh flowers	the comedian saw the crowd	pp	structure_1
The fisherman caught the trout	The fisherman caught	The guy caught the rat with a scar	the guy caught	pp	structure_1
The park of the city delighted the children	The park of delighted the children	The inventor of the machine that had the goatee was amazing	the inventor of amazing	adjunct	structure_2
The baker kneaded the dough	The baker kneaded	Van Gogh drew the paintings with starry night	van gogh drew	pp	structure_1
The festival of the village entertained the guests	The festival of entertained the guests	The letter of the writer that had blonde hair arrived this morning	the letter of that had blonde hair arrived this morning	adjunct	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The flowers of the valley that had the old castle excited the tourists	the flowers of excited the tourists	adjunct	structure_1
