demonstration	demon_label	test_sentence	response	attachment	structure
The forest of the animals pleased us	The forest of pleased us	The criminal of the gang that had a long scar disappeared last Monday	the criminal of disappeared last monday	adjunct	structure_2
The artist of the mural completed his work	The artist of completed his work	The painter of the house that had the small windows looked odd	the painter of the house looked odd	adjunct	structure_1
The driver steered the car	The driver steered	Van Gogh sold the paintings with a broken heart	van gogh sold the paintings	pp	structure_2
The mansion of the celebrity excited the fans	The mansion of excited the fans	The gold of the miner that had the impurities was worthless	the gold of the miner was worthless	adjunct	structure_2
The attorney of the company bothered me	The attorney of bothered me	The flowers of the valley that had the old castle excited the tourists	the flowers of the excited the tourists	adjunct	structure_1
The chef seasoned the soup	The chef seasoned	The doctor noticed the boy using big headphones	the doctor noticed	pp	structure_1
The gamer played the game	The gamer played	The basketball player won the game with his team	the basketball player won with his team	pp	structure_2
The actor memorized the script	The actor memorized	The professor challenged the students with his projects	the professor challenged the students	pp	structure_2
The hiker climbed the mountain	The hiker climbed	Bruce likes the rock band with different instruments	bruce likes the rock band	pp	structure_1
The house of the painter looked odd	The house of looked odd	The church of the bishop that had the funny eyebrows looked odd	the church of that had the funny eyebrows looked odd	adjunct	structure_1
The musician tuned the guitar	The musician tuned	The coach led the team with three members	the coach led the team	pp	structure_1
The tailor altered the coat	The tailor altered	Dan entered the room with a window	dan entered the room	pp	structure_1
The pilot flew the airplane	The pilot flew	The comedian entertained the crowd with witty jokes	the comedian entertained the crowd	pp	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The driver of the car that had the moustache was pretty cool	the driver of that had the moustache was pretty cool	adjunct	structure_2
The bakery of the district tempted the locals	The bakery of tempted the locals	The writer of the letter that had blonde hair arrived this morning	the writer of arrived this morning	adjunct	structure_2
The singer composed a song	The singer composed	Bill cut the paper with a very bright colour	bill cut the paper	pp	structure_1
The detective solved the mystery	The detective solved	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate	pp	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The editor of the thesis that had the big nose made a lot of sense	the editor of that made a lot of sense	adjunct	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The inventor of the machine that had the goatee was amazing	fail to follow	adjunct	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The song of the singer that had long eyelashes was very smart	the song of that had long eyelashes was very smart	adjunct	structure_1
The student read the book	The student read	Mom melted the chocolate with an iron pot	mom melted the chocolate	pp	structure_2
The programmer wrote the code	The programmer wrote	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
The manager of the factory was efficient	The manager of was efficient	The supplier of the drugs that had a nasty effect hurt everyone	the supplier of hurt everyone	adjunct	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The chef of the restaurant that had the blue tiles pleased us	fail to follow	adjunct	structure_1
