demonstration	demon_label	test_sentence	response	attachment	structure
The lawyer argued the case	The lawyer argued	Charles runs a photo studio with two floors	charles runs a photo studio	pp	structure_1
The gallery of the center impressed the critics	The gallery of impressed the critics	The bishop of the church that had the funny eyebrows looked odd	the bishop looked odd	adjunct	structure_2
The jeweler polished the diamond	The jeweler polished	the cook made the meal with a Chinese cleaver	the cook made the meal	pp	structure_2
The detective solved the mystery	The detective solved	Bruce likes the rock band with different instruments	bruce likes the rock band	pp	structure_1
The pilot flew the airplane	The pilot flew	The magician amazed the participant with a fancy scene	the magician amazed the participant	pp	structure_2
The director of the orchestra played well	The director of played well	The song of the singer that had long eyelashes was very smart	the song of that had long eyelashes was very smart	adjunct	structure_1
The designer of the dress took a bow	The designer of took a bow	The writer of the letter that had blonde hair arrived this morning	the writer of that had blonde hair arrived this morning	adjunct	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The flowers of the valley that had the old castle excited the tourists	the flowers of the valley that had excited the tourists	adjunct	structure_1
The mechanic fixed the engine	The mechanic fixed	The doctor saved the boy using a pacemaker	the doctor saved	pp	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The criminal of the gang that had a long scar disappeared last Monday	the criminal of that had a long scar disappeared last monday	adjunct	structure_2
The park of the city delighted the children	The park of delighted the children	The painter of the house that had the small windows looked odd	fail to follow	adjunct	structure_1
The actor memorized the script	The actor memorized	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate the cake	pp	structure_1
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The editor of the thesis that had the big nose made a lot of sense	the editor of the thesis made a lot of sense	adjunct	structure_2
The tailor altered the coat	The tailor altered	Bill cut the paper with a very bright colour	bill cut the paper	pp	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The gold of the miner that had the impurities was worthless	the gold of that had the impurities was worthless	adjunct	structure_2
The sculptor chiseled the statue	The sculptor chiseled	The coach led the team with three members	the coach led the team	pp	structure_1
The plains of the tribe looked strange	The plains of looked strange	The car of the driver that had the moustache was pretty cool	the car of was pretty cool	adjunct	structure_1
The fisherman caught the trout	The fisherman caught	Mom melted the chocolate with an iron pot	mom melted	pp	structure_2
The hiker climbed the mountain	The hiker climbed	The comedian entertained the crowd with witty jokes	the comedian entertained the crowd	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The chef of the restaurant that had the blue tiles pleased us	the chef of the restaurant pleased us	adjunct	structure_1
The student solved the equation	The student solved	The professor challenged the students with his projects	the professor challenged	pp	structure_2
The song of the player is really popular	The song of is really popular	The supplier of the drugs that had a nasty effect hurt everyone	the supplier of that had a nasty effect hurt everyone	adjunct	structure_1
The forest of the animals pleased us	The forest of pleased us	The inventor of the machine that had the goatee was amazing	fail to follow	adjunct	structure_2
The gamer played the game	The gamer played	Van Gogh drew the paintings with starry night	van gogh drew the paintings	pp	structure_1
