demonstration	demon_label	test_sentence	response	attachment	structure
The jeweler polished the diamond	The jeweler polished	The comedian saw the crowd with fresh flowers	the comedian saw the crowd	pp	structure_1
The artist of the mural completed his work	The artist of completed his work	The miner of the gold that had the impurities was worthless	the miner of the gold was worthless	adjunct	structure_1
The librarian sorted the books	The librarian sorted	The doctor saved the boy using a pacemaker	the doctor saved the boy	pp	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The machine of the inventor that had the goatee was amazing	the machine of the inventor was amazing	adjunct	structure_1
The student read the book	The student read	Charles runs a photo studio with two floors	charles runs a photo studio	pp	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The chef of the restaurant that had the blue tiles pleased us	fail to follow	adjunct	structure_1
The carpenter built the house	The carpenter built	The guy caught the rat with a trap	the guy caught	pp	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The car of the driver that had the moustache was pretty cool	fail to follow	adjunct	structure_1
The tailor altered the coat	The tailor altered	Jasmine sang the song with the lovely students	jasmine sang	pp	structure_2
The park of the city delighted the children	The park of delighted the children	The gang of the criminal that had a long scar disappeared last Monday	the gang of that had a long scar disappeared last monday	adjunct	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The valley of the flowers that had the old castle excited the tourists	the valley of excited the tourists	adjunct	structure_2
The programmer wrote the code	The programmer wrote	The coach led the team with three members	the coach led the team	pp	structure_1
The chef cooked the meal	The chef cooked	The professor recruited the students with black eyes	the professor recruited the students	pp	structure_1
The teacher explained the concept	The teacher explained	Bruce leads the rock band with his voice	bruce leads	pp	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The singer of the song that had long eyelashes was very smart	the singer of the song was very smart	adjunct	structure_2
The song of the player is really popular	The song of is really popular	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of that had a nasty effect hurt everyone	adjunct	structure_2
The student solved the equation	The student solved	Van Gogh drew the paintings with starry night	van gogh drew	pp	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The house of the painter that had the small windows looked odd	fail to follow	adjunct	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The editor of the thesis that had the big nose made a lot of sense	the editor of that had the big nose made a lot of sense	adjunct	structure_2
The actor memorized the script	The actor memorized	The magician thanked the participant with a big nose	the magician thanked the participant	pp	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The church of the bishop that had the funny eyebrows looked odd	the church of looked odd	adjunct	structure_1
The sculptor chiseled the statue	The sculptor chiseled	the cook made the meal with a Chinese cleaver	the cook made the meal	pp	structure_2
The hiker climbed the mountain	The hiker climbed	Queen Elizabeth II ate the cake with a silver fork	queen elizabeth ii ate	pp	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The writer of the letter that had blonde hair arrived this morning	the writer of arrived this morning	adjunct	structure_2
