demonstration	demon_label	test_sentence	response	attachment	structure
The bakery of the district tempted the locals	The bakery of tempted the locals	The inventor of the machine that had the goatee was amazing	the inventor of had the goatee was amazing	adjunct	structure_2
The photographer adjusted the lens	The photographer adjusted	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate	pp	structure_1
The attorney of the company bothered me	The attorney of bothered me	The thesis of the editor that had the big nose made a lot of sense	the thesis of that had the big nose made a lot of sense	adjunct	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The church of the bishop that had the funny eyebrows looked odd	the church of looked odd	adjunct	structure_1
The director of the orchestra played well	The director of played well	The song of the singer that had long eyelashes was very smart	the song of that had long eyelashes was very smart	adjunct	structure_1
The dancer performed the routine	The dancer performed	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
The artist of the mural completed his work	The artist of completed his work	The house of the painter that had the small windows looked odd	the house of the painter looked odd	adjunct	structure_2
The actor memorized the script	The actor memorized	Michelle watched the movie with her boyfriend	michelle watched	pp	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The drugs of the supplier that had a nasty effect hurt everyone	the drugs hurt everyone	adjunct	structure_2
The hiker climbed the mountain	The hiker climbed	Bruce likes the rock band with different instruments	bruce likes the rock band	pp	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The chef of the restaurant that had the blue tiles pleased us	the chef of that pleased us	adjunct	structure_1
The bird sang a melody	The bird sang	The coach led the team with three members	the coach led the team	pp	structure_1
The fisherman caught the trout	The fisherman caught	Jasmine sang the song with the lovely students	jasmine sang	pp	structure_2
The carpenter built the house	The carpenter built	The guy caught the rat with a trap	the guy caught	pp	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The criminal of the gang that had a long scar disappeared last Monday	the criminal of that had a long scar disappeared last monday	adjunct	structure_2
The tailor altered the coat	The tailor altered	the cook made the meal with a Chinese cleaver	the cook made the meal	pp	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The car of the driver that had the moustache was pretty cool	fail to follow	adjunct	structure_1
The gardener watered the plants	The gardener watered	The basketball player won the game with lots of audience	the basketball player won	pp	structure_1
The jeweler polished the diamond	The jeweler polished	Mom ate the chocolate with chopped nuts	mom ate	pp	structure_1
The student read the book	The student read	Van Gogh sold the paintings with a broken heart	van gogh sold the paintings	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The valley of the flowers that had the old castle excited the tourists	the valley of that had excited the tourists	adjunct	structure_2
The mansion of the celebrity excited the fans	The mansion of excited the fans	The writer of the letter that had blonde hair arrived this morning	the writer of arrived this morning	adjunct	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The miner of the gold that had the impurities was worthless	fail to follow	adjunct	structure_1
The chef cooked the meal	The chef cooked	Bill cut the paper with a very bright colour	bill cut the paper	pp	structure_1
