demonstration	demon_label	test_sentence	response	attachment	structure
The bakery of the district tempted the locals	The bakery of tempted the locals	The gang of the criminal that had a long scar disappeared last Monday	the gang of disappeared last monday	adjunct	structure_1
The attorney of the company bothered me	The attorney of bothered me	The machine of the inventor that had the goatee was amazing	the machine of that had the goatee was amazing	adjunct	structure_1
The plains of the tribe looked strange	The plains of looked strange	The letter of the writer that had blonde hair arrived this morning	the letter of arrived this morning	adjunct	structure_1
The designer of the dress took a bow	The designer of took a bow	The singer of the song that had long eyelashes was very smart	the singer of that had long eyelashes was very smart	adjunct	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The bishop of the church that had the funny eyebrows looked odd	the bishop of looked odd	adjunct	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The valley of the flowers that had the old castle excited the tourists	the valley of that had excited the tourists	adjunct	structure_2
The student solved the equation	The student solved	Queen Elizabeth II ate the cake with a silver fork	queen elizabeth ii ate	pp	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The editor of the thesis that had the big nose made a lot of sense	fail to follow	adjunct	structure_2
The detective solved the mystery	The detective solved	The coach motivated the team with inspiring words	the coach motivated	pp	structure_2
The park of the city delighted the children	The park of delighted the children	The painter of the house that had the small windows looked odd	fail to follow	adjunct	structure_1
The manager of the factory was efficient	The manager of was efficient	The gold of the miner that had the impurities was worthless	the gold of that had the impurities was worthless	adjunct	structure_2
The carpenter built the house	The carpenter built	the cook ate the meal with some cauliflowers	the cook ate	pp	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The car of the driver that had the moustache was pretty cool	the car of had the moustache was pretty cool	adjunct	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The chef of the restaurant that had the blue tiles pleased us	the chef of the restaurant that had pleased us	adjunct	structure_1
The song of the player is really popular	The song of is really popular	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of that had a nasty effect hurt everyone	adjunct	structure_2
The singer composed a song	The singer composed	Charles runs a photo studio with two floors	charles runs a photo studio	pp	structure_1
The driver steered the car	The driver steered	The professor recruited the students with black eyes	the professor recruited the students	pp	structure_1
The dancer performed the routine	The dancer performed	Dan entered the room with a window	dan entered the room	pp	structure_1
The sculptor chiseled the statue	The sculptor chiseled	Mom melted the chocolate with an iron pot	mom melted the chocolate	pp	structure_2
The hiker climbed the mountain	The hiker climbed	Jasmine sang the song with the lovely students	jasmine sang	pp	structure_2
The gamer played the game	The gamer played	The police investigated the house with the permission	the police investigated the house	pp	structure_2
The tailor altered the coat	The tailor altered	The basketball player won the game with lots of audience	the basketball player won	pp	structure_1
The journalist reported the news	The journalist reported	Van Gogh sold the paintings with a broken heart	van gogh sold the paintings	pp	structure_2
The librarian sorted the books	The librarian sorted	The guy caught the rat with a scar	the guy caught	pp	structure_1
