demonstration	demon_label	test_sentence	response	attachment	structure
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The criminal of the gang that had a long scar disappeared last Monday	the criminal of the gang that disappeared last monday	adjunct	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The chef of the restaurant that had the blue tiles pleased us	the chef of that had the blue tiles pleased us	adjunct	structure_1
The architect designed the building	The architect designed	The guy caught the rat with a trap	the guy caught	pp	structure_2
The park of the city delighted the children	The park of delighted the children	The song of the singer that had long eyelashes was very smart	the song of that had long eyelashes was very smart	adjunct	structure_1
The carpenter built the house	The carpenter built	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate with a red rose	pp	structure_1
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The bishop of the church that had the funny eyebrows looked odd	the bishop of that had the funny eyebrows looked odd	adjunct	structure_2
The plains of the tribe looked strange	The plains of looked strange	The painter of the house that had the small windows looked odd	the painter of looked odd	adjunct	structure_1
The house of the painter looked odd	The house of looked odd	The valley of the flowers that had the old castle excited the tourists	the valley of that had excited the tourists	adjunct	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The editor of the thesis that had the big nose made a lot of sense	the editor of that had the big nose made a lot of sense	adjunct	structure_2
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The writer of the letter that had blonde hair arrived this morning	fail to follow	adjunct	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The machine of the inventor that had the goatee was amazing	the machine of that had the goatee was amazing	adjunct	structure_1
The tailor altered the coat	The tailor altered	The professor recruited the students with black eyes	the professor recruited the students	pp	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The car of the driver that had the moustache was pretty cool	fail to follow	adjunct	structure_1
The detective solved the mystery	The detective solved	The comedian saw the crowd with fresh flowers	the comedian saw	pp	structure_1
The dancer performed the routine	The dancer performed	The doctor noticed the boy using big headphones	the doctor noticed the boy	pp	structure_1
The student solved the equation	The student solved	Bruce likes the rock band with different instruments	bruce likes the rock band	pp	structure_1
The fisherman caught the trout	The fisherman caught	The magician amazed the participant with a fancy scene	the magician amazed	pp	structure_2
The mechanic fixed the engine	The mechanic fixed	Van Gogh sold the paintings with a broken heart	van gogh sold	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The miner of the gold that had the impurities was worthless	the miner of the gold was worthless	adjunct	structure_1
The programmer wrote the code	The programmer wrote	Dan entered the room with a key	dan entered the room	pp	structure_2
The librarian sorted the books	The librarian sorted	The basketball player won the game with lots of audience	the basketball player won	pp	structure_1
The journalist reported the news	The journalist reported	Michelle watched the movie with her boyfriend	michelle watched	pp	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The drugs of the supplier that had a nasty effect hurt everyone	fail to follow	adjunct	structure_2
The gardener watered the plants	The gardener watered	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
