demonstration	demon_label	test_sentence	response	attachment	structure
The teacher explained the concept	The teacher explained	Dan entered the room with a window	dan entered the room	pp	structure_1
The song of the player is really popular	The song of is really popular	The thesis of the editor that had the big nose made a lot of sense	the thesis of that had made a lot of sense	adjunct	structure_1
The director of the orchestra played well	The director of played well	The church of the bishop that had the funny eyebrows looked odd	the church of looked odd	adjunct	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The song of the singer that had long eyelashes was very smart	the song of that had long eyelashes was very smart	adjunct	structure_1
The collection of the store fascinated the students	The collection of fascinated the students	The restaurant of the chef that had the blue tiles pleased us	fail to follow	adjunct	structure_2
The bird sang a melody	The bird sang	Michelle watched the movie with her boyfriend	michelle watched the movie	pp	structure_2
The artist of the mural completed his work	The artist of completed his work	The supplier of the drugs that had a nasty effect hurt everyone	the supplier of the drugs hurt everyone	adjunct	structure_1
The plains of the tribe looked strange	The plains of looked strange	The car of the driver that had the moustache was pretty cool	the car of was pretty cool	adjunct	structure_1
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The gold of the miner that had the impurities was worthless	the gold of the miner was worthless	adjunct	structure_2
The student read the book	The student read	The basketball player won the game with lots of audience	the basketball player won	pp	structure_1
The mechanic fixed the engine	The mechanic fixed	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate	pp	structure_1
The programmer wrote the code	The programmer wrote	The guy caught the rat with a trap	the guy caught the rat	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The inventor of the machine that had the goatee was amazing	the inventor of the machine was amazing	adjunct	structure_2
The bakery of the district tempted the locals	The bakery of tempted the locals	The writer of the letter that had blonde hair arrived this morning	the writer of arrived this morning	adjunct	structure_2
The gamer played the game	The gamer played	Jasmine sang the song with the lovely students	jasmine sang with the lovely students	pp	structure_2
The hiker climbed the mountain	The hiker climbed	The magician thanked the participant with a big nose	the magician thanked the participant	pp	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The gang of the criminal that had a long scar disappeared last Monday	the gang of disappeared last monday	adjunct	structure_1
The singer composed a song	The singer composed	The comedian saw the crowd with fresh flowers	the comedian saw the crowd	pp	structure_1
The journalist reported the news	The journalist reported	The police investigated the house with a garden	the police investigated	pp	structure_1
The gardener watered the plants	The gardener watered	Bruce leads the rock band with his voice	bruce leads	pp	structure_2
The sculptor chiseled the statue	The sculptor chiseled	The doctor saved the boy using a pacemaker	the doctor saved the boy	pp	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The house of the painter that had the small windows looked odd	the house of looked odd	adjunct	structure_2
The park of the city delighted the children	The park of delighted the children	The valley of the flowers that had the old castle excited the tourists	the valley of excited the tourists	adjunct	structure_2
The student solved the equation	The student solved	the cook made the meal with a Chinese cleaver	the cook made the meal	pp	structure_2
