demonstration	demon_label	test_sentence	response	attachment	structure
The festival of the village entertained the guests	The festival of entertained the guests	The gold of the miner that had the impurities was worthless	the gold of that was worthless	adjunct	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The chef of the restaurant that had the blue tiles pleased us	the chef of had the blue tiles pleased us	adjunct	structure_1
The hiker climbed the mountain	The hiker climbed	Bruce leads the rock band with his voice	bruce leads the rock band	pp	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The writer of the letter that had blonde hair arrived this morning	the writer of arrived this morning	adjunct	structure_2
The bakery of the district tempted the locals	The bakery of tempted the locals	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of hurt everyone	adjunct	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The machine of the inventor that had the goatee was amazing	fail to follow	adjunct	structure_1
The collection of the store fascinated the students	The collection of fascinated the students	The church of the bishop that had the funny eyebrows looked odd	the church of that looked odd	adjunct	structure_1
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The thesis of the editor that had the big nose made a lot of sense	fail to follow	adjunct	structure_1
The gardener watered the plants	The gardener watered	Bill cut the paper with a very bright colour	bill cut the paper	pp	structure_1
The pilot flew the airplane	The pilot flew	Van Gogh sold the paintings with a broken heart	van gogh sold the paintings	pp	structure_2
The sculptor chiseled the statue	The sculptor chiseled	The basketball player won the game with his team	the basketball player won	pp	structure_2
The dancer performed the routine	The dancer performed	Michelle watched the movie with English subtitles	michelle watched the movie	pp	structure_1
The driver steered the car	The driver steered	The magician thanked the participant with a big nose	the magician thanked the participant	pp	structure_1
The musician tuned the guitar	The musician tuned	The doctor noticed the boy using big headphones	the doctor noticed	pp	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The car of the driver that had the moustache was pretty cool	the car of the driver was pretty cool	adjunct	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The singer of the song that had long eyelashes was very smart	the singer of that had long eyelashes was very smart	adjunct	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The house of the painter that had the small windows looked odd	the house of the painter looked odd	adjunct	structure_2
The journalist reported the news	The journalist reported	The police investigated the house with the permission	the police investigated the house	pp	structure_2
The chef cooked the meal	The chef cooked	Dan entered the room with a window	dan entered the room	pp	structure_1
The detective solved the mystery	The detective solved	Jasmine sang the song with the lovely students	jasmine sang	pp	structure_2
The bird sang a melody	The bird sang	The coach motivated the team with inspiring words	the coach motivated the team	pp	structure_2
The mechanic fixed the engine	The mechanic fixed	The comedian saw the crowd with fresh flowers	the comedian saw	pp	structure_1
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The criminal of the gang that had a long scar disappeared last Monday	the criminal of that had a long scar disappeared last monday	adjunct	structure_2
The song of the player is really popular	The song of is really popular	The flowers of the valley that had the old castle excited the tourists	the flowers of that had excited the tourists	adjunct	structure_1
