demonstration	demon_label	test_sentence	response	attachment	structure
The mansion of the celebrity excited the fans	The mansion of excited the fans	The criminal of the gang that had a long scar disappeared last Monday	the criminal of that had a long scar disappeared last monday	adjunct	structure_2
The pilot flew the airplane	The pilot flew	Jasmine sang the song with romantic lyrics	jasmine sang the song	pp	structure_1
The photographer adjusted the lens	The photographer adjusted	the cook ate the meal with some cauliflowers	the cook ate the meal	pp	structure_1
The collection of the store fascinated the students	The collection of fascinated the students	The restaurant of the chef that had the blue tiles pleased us	fail to follow	adjunct	structure_2
The artist of the mural completed his work	The artist of completed his work	The car of the driver that had the moustache was pretty cool	the car of the driver was pretty cool	adjunct	structure_1
The architect designed the building	The architect designed	The doctor noticed the boy using big headphones	the doctor noticed	pp	structure_1
The musician tuned the guitar	The musician tuned	The comedian saw the crowd with fresh flowers	the comedian saw the crowd	pp	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The letter of the writer that had blonde hair arrived this morning	the letter of arrived this morning	adjunct	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The gold of the miner that had the impurities was worthless	the gold of that had the impurities was worthless	adjunct	structure_2
The fisherman caught the trout	The fisherman caught	The professor challenged the students with his projects	the professor challenged	pp	structure_2
The singer composed a song	The singer composed	Queen Elizabeth II ate the cake with a silver fork	queen elizabeth ii ate	pp	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The flowers of the valley that had the old castle excited the tourists	the flowers of that had excited the tourists	adjunct	structure_1
The gardener watered the plants	The gardener watered	Dan entered the room with a window	dan entered the room	pp	structure_1
The bird sang a melody	The bird sang	The magician amazed the participant with a fancy scene	the magician amazed the participant	pp	structure_2
The carpenter built the house	The carpenter built	Bruce leads the rock band with his voice	bruce leads	pp	structure_2
The song of the player is really popular	The song of is really popular	The editor of the thesis that had the big nose made a lot of sense	the editor of that had made a lot of sense	adjunct	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The church of the bishop that had the funny eyebrows looked odd	the church of looked odd	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The machine of the inventor that had the goatee was amazing	the machine of that had the goatee was amazing	adjunct	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The singer of the song that had long eyelashes was very smart	fail to follow	adjunct	structure_2
The librarian sorted the books	The librarian sorted	Mom melted the chocolate with an iron pot	mom melted the chocolate	pp	structure_2
The dancer performed the routine	The dancer performed	The police investigated the house with a garden	the police investigated	pp	structure_1
The forest of the animals pleased us	The forest of pleased us	The supplier of the drugs that had a nasty effect hurt everyone	the supplier of hurt everyone	adjunct	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The house of the painter that had the small windows looked odd	the house of looked odd	adjunct	structure_2
The tailor altered the coat	The tailor altered	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
