demonstration	demon_label	test_sentence	response	attachment	structure
The chef seasoned the soup	The chef seasoned	The police investigated the house with the permission	the police investigated with the permission	pp	structure_2
The student solved the equation	The student solved	The comedian entertained the crowd with witty jokes	the comedian entertained	pp	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The church of the bishop that had the funny eyebrows looked odd	the church of that looked odd	adjunct	structure_1
The teacher explained the concept	The teacher explained	The doctor noticed the boy using big headphones	the doctor noticed	pp	structure_1
The student read the book	The student read	Bill cut the paper with a very sharp knife	bill cut the paper	pp	structure_2
The song of the player is really popular	The song of is really popular	The criminal of the gang that had a long scar disappeared last Monday	the criminal of that had a long scar disappeared last monday	adjunct	structure_2
The bird sang a melody	The bird sang	Charles runs a photo studio with two floors	charles runs a photo studio	pp	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The car of the driver that had the moustache was pretty cool	the car of that had the moustache was pretty cool	adjunct	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of hurt everyone	adjunct	structure_2
The gardener watered the plants	The gardener watered	Van Gogh sold the paintings with a broken heart	van gogh sold	pp	structure_2
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The editor of the thesis that had the big nose made a lot of sense	the editor of that had the big nose made a lot of sense	adjunct	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The chef of the restaurant that had the blue tiles pleased us	the chef of that had the blue tiles pleased us	adjunct	structure_1
The fisherman caught the trout	The fisherman caught	Jasmine sang the song with romantic lyrics	jasmine sang the song	pp	structure_1
The attorney of the company bothered me	The attorney of bothered me	The singer of the song that had long eyelashes was very smart	the singer of that had long eyelashes was very smart	adjunct	structure_2
The gamer played the game	The gamer played	the cook ate the meal with some cauliflowers	the cook ate the meal	pp	structure_1
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The painter of the house that had the small windows looked odd	fail to follow	adjunct	structure_1
The chef cooked the meal	The chef cooked	The basketball player won the game with his team	the basketball player won	pp	structure_2
The dancer performed the routine	The dancer performed	The professor recruited the students with black eyes	the professor recruited the students	pp	structure_1
The baker kneaded the dough	The baker kneaded	Bruce likes the rock band with different instruments	bruce likes the rock band	pp	structure_1
The journalist reported the news	The journalist reported	The guy caught the rat with a trap	the guy caught the rat	pp	structure_2
The designer of the dress took a bow	The designer of took a bow	The writer of the letter that had blonde hair arrived this morning	the writer of that had blonde hair arrived this morning	adjunct	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The inventor of the machine that had the goatee was amazing	fail to follow	adjunct	structure_2
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The flowers of the valley that had the old castle excited the tourists	fail to follow	adjunct	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The miner of the gold that had the impurities was worthless	the miner of the gold was worthless	adjunct	structure_1
