demonstration	test_sentence	response
Estimated volume was a very light one million ounces	Prices of Treasury bonds tumbled in moderate to active trading	Prices of treasury bonds in moderate to active trading
The peril of unlimited liability looms large for a number of them now	An official linked the gain essentially to higher prices for beef and pork	An official linked the gain to prices for beef and pork.
Dan Rather served as emcee	Those current holders would also receive minority interests in the new company	Holders receive interests in the company
He has good control	He can live with little pleasures	He can
He had been vice president in that office	Giant has interests in cement making and newsprint	Giant has interests in
This phenomenon often makes stock prices swing wildly at the end of the trading session	News of the bid drew sharp criticism from other computer companies and industry observers	News of the bid drew criticism from
Japanese government bonds showed little change	Foreign bonds surged as the dollar weakened against most major currencies	Foreign bonds surged
Arm troubles forced him back to the minors the next year	He is a lawyer with a string of academic degrees	He is a lawyer with degrees
The red granite mausoleum draws thousands of visitors daily	All of the bidders contemplate full payment including interest to secured creditors	All of the bidders contemplate payment
No one else will watch out for you	Preparedness involves more than flashlights and fire alarms these days	Preparedness involves more
Prices closed mixed as contracts reacted to largely offsetting bullish and bearish news	Everyone falls in love with everyone else	Everyone loves everyone else
It is a quick fix for a complex problem	Percentage differences based on daily sales rate rather than sales volume	Percentage differences
The stock market reacted strongly to the news	Most analysts had expected a sharper decline after the steep rise in August	Most analysts expected
Other money managers also opened their wallets	And many have done just that	And many have
Democrats had been negotiating with some Republican congressional leaders on a compromise lately	It has some of the highest costs in the league	It has of the highest costs
Congressmen raised the issue yesterday at a hearing	The project has been in and out of the pipeline for more than a decade	The project has been in and out for a decade
The future of the forest remains uncertain	Baskets of roses and potted palms adorned his bench	Baskets adorned his bench
Inco shares fell after the announcements	It is a quick fix for a complex problem	It is a quick fix
Tokyo stocks rebounded Tuesday from two consecutive daily losses in relatively active dealings	The issues of companies with ties to the junk bond market also tumbled Friday	The issues of companies with junk bonds tumbled
Such trappings suggest a glorious past but give no hint of a troubled present	Ideologues on the other side of the border can also slow the process	Idealogues on the other side of the border can also slow
Competition in the sale of complete bikes is heating up too	There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	There a few quiet atolls of resort houses nearby 
The announcement fueled speculation for future advances in the shares	They promised yet more for really good stuff	They promised yet
There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	All three funds posted negative returns for the year to date	All funds posted negative returns
The pilots were meeting outside Chicago yesterday	That figure has been inching up for several years	That figure has been up years
