demonstration	test_sentence	response
The dollar finished at its intraday highs	Both Coors and Stroh have recently been ceding market share to Miller and Anheuser	Coors and Stroh share.
The scientists have experimented on the tiny neck arteries of rats	The closely watched funds rate is what banks charge each other on overnight loans	The rate is what banks charge each other.
Yet the bill is riding high on the furor over drug trafficking	This could mean diminished issuance of derivative mortgage issues during the next few weeks	This could mean diminished issuance.
Stock prices rallied in active trading	Scientists also are exploring memory and perception with the new machines	Scientists are exploring.
Most earn high ratings from credit agencies	The announcement fueled speculation for future advances in the shares	The announcement fueled.
This creates several problems	The companies reached an agreement in principle for the sale in August	The companies reached.
The Panamanian affair is only the tip of a more alarming iceberg	His boss complained about neglect of other chores	His boss complained about neglect of.
Their problem is one of inefficiency of an industrial economy	The two sides also traded accusations about the cost of the Packwood plan	The two sides also traded accusations about.
Housing has been weak all year and especially so in the past five months	Most British programming is more of an acquired taste	Most British programming is more of.
Repeat customers also can purchase luxury items at reduced prices	There was no appreciable market impact from the California earthquake	There was no appreciable market impact.
But some analysts remain sour on the company	The market is still very touchy about rumors and news on pending takeovers	The market is still very touchy.
Only a few books fell in the reading room	But the production is the equal of any local program	But the production is the equal.
The mining zone has thus remained one of the most desolate places in Africa	Enfield is a holding company with interests in manufacturing concerns	Enfield is a holding company with interests.
But the steam may never reach the engine room	The main argument for growth stocks is their usually superior performance in a slowing economy	The main argument for growth stocks is their usually superior performance.
He takes over a school system in the midst of radical reform	Percentage differences based on daily sales rate rather than sales volume	Percentage differences based on.
The husky blond guide with the Aggie cap twists his face in mock fury	Cost is a key consideration because of the global sweep of the financial markets	Cost is a key consideration.
American institutional investors have never had a large appetite for Japanese equities	The final maturity is in five years	The final maturity is.
The put establishes a minimum selling price for the stock during its life	Many resorts also are focusing more on the service side of their business	Many resorts also are focusing more on.
Two segments posted lower earnings for the quarter	Strategists should consider the impact of budget uncertainties at the beginning of the planning process	Strategists should consider the impact of.
Broader market averages were little changed in the latest session	That cost rises in times of high market volatility	That cost rises in times.
There is a small Renoir on the wall	The selling by money managers and individual investors is turning traders bearish as well	The selling is turning traders bearish.
This is partly due to the particular demands of the crop	The Old Crowd is deeply concerned by the backlash from all this	The Old Crowd is deeply concerned by.
Utilities management is a major commercial niche	The dollar finished at its intraday highs	The dollar finished.
An additional benefit is the creation of jobs	Some funds are posting yields far higher than the average	Some funds are posting yields.
