demonstration	test_sentence	response
Our teachers are not an important factor in our educational crisis	His hands sit farther apart on the keyboard	His hands sit farther apart
Neither disclosed details pending board meetings next month	But attendance is down from previous years	Attendance is down.
For months the resistance has been defenseless against air attack	Following are excerpts from the electronic traffic that night	Following are excerpts from the electronic traffic.
We think that the ratings revision is unfortunate but not unexpected	But markets can operate with greater or lesser efficiency	But markets can operate with.
The bond market was unmoved by the economic statistics	The problem is not that the Fed is too unresponsive to the public interest	The problem is not that the Fed is too.
Two election commission members opposed the matching plans	Housing has been weak all year and especially so in the past five months	Housing has been weak all year.
The put establishes a minimum selling price for the stock during its life	The traffic jam out of the park was monumental	The traffic jam was monumental.
Expansion plans also include acquisitions in growing foreign markets	The engine plant may encompass plans for a joint components venture with Jaguar	The engine plant may.
Yet he has proved more resilient than any of them	Civil suits against planners by clients seeking recovery of funds are increasingly common	Civil suits against planners by
The Pentagon foiled the plan	He speaks only in Filipino	He speaks only
And they are a very odd team in any case	Most British programming is more of an acquired taste	Most British programming is an acquired taste
Housing has been weak all year and especially so in the past five months	She notes that she also stresses professionalism during her weekly visits	She stresses professionalism during her weekly visits
The service supplies weekly reports on school and college construction plans	It was the highest bid in history for a work of art	It was the highest bid in
Japan is a major target for the Soviets	Risk is also a function of time	Risk is
The issues of companies with ties to the junk bond market also tumbled Friday	Now it is their fellow Turks arriving as refugees from Bulgaria	Now it is their fellow Turks from Bulgaria
But most investors were seeking share prices and other information	All of the bidders contemplate full payment including interest to secured creditors	All of the bidders contemplate
But even a little appeal has a lot of attraction these days	That brought a chain reaction in the industry	That brought in the industry
Fog shrouded the base before touchdown	The latest rebate is good for all Beretta models	The latest is good for all Beretta models
It all started with geography	It has some of the highest costs in the league	It has some
Businessmen took their cue from the engineers	But weak car sales raise questions about future demand from the auto sector	But weak car sales raise questions about future demand
The merger requires the approval of Norwegian authorities	Market conditions point to even lower prices next year	Market conditions point to
The new exchange drew instant recognition from an unwelcome quarter	Merck is one of the most important stocks in the Major Market Index	Merck is in the Major Market Index
The four lawyers climbed out from under a table	They speak volumes about the state of our society at a given moment	They speak volumes about the state of our society
One man wrapped several diamonds in the knot of his tie	Still the Salinger decision created a strong presumption against fair use of unpublished materials	Still the Salinger decision created a strong presumption against fair use of
