demonstration	test_sentence	response
But developers of four planned office towers cautioned that obstacles still remain	Some funds are posting yields far higher than the average	Certain funds have higher yields than average.
Wall Street is understandably skeptical	Funds for drilling may inch up more next year if oil prices stay stable	Funds for drilling may.
But the Rockefeller investment is its largest	But the utility may not continue next year	But the utility may not.
The original owners happily repaid the claim and took their kylix home	Civil suits against planners by clients seeking recovery of funds are increasingly common	Civil suits against planners by clients seeking recovery of funds are increasingly.
Uncertainty dogs every aspect of their lives	The loss of more customers is the latest in a string of problems	The loss of more customers is.
Such trappings suggest a glorious past but give no hint of a troubled present	Waxman sells a variety of hardware products for the home repair market	Waxman sells a variety of hardware products for.
That means huge travel bills	It is a peaceful time in this part of western India	It is a.
Many law firms sponsor their own programs	Futures prices recovered in quiet trading	Future prices recovered in.
That could shove a weak economy into recession	The agreement is subject to government approval	The agreement is subject to.
The board will be made up of seven directors of each holding company	The announcement fueled speculation for future advances in the shares	The announcement fueled speculation.
They did themselves even more good	But they are also talking about new magazines	But they are also.
The put establishes a minimum selling price for the stock during its life	Bonds received a bigger boost later in the day when stock prices moved broadly lower	Bonds received.
The spinoff should solve a problem for the parent	He will remain chairman	He will chairman.
Percentage differences based on daily sales rate rather than sales volume	It also adds to the mystery of the venture	It also adds to the.
Advertisers attribute this shared loyalty to the striking similarity among brands	This pattern was particularly evident among more highly educated couples	This pattern was among brands.
This occurred partly because of more competition as the number of new businesses surged	News of the bid drew sharp criticism from other computer companies and industry observers	News of the big drew sharp criticism from observers.
The problem is not that the Fed is too unresponsive to the public interest	Kia is reportedly also considering such a plan	Kia is reportedly also considering.
Fear is the father of panic	Stocks rose slightly as trading activity slowed from the frenzied pace earlier this week	Stocks rose slightly as.
But observers expect broad support	Nashua announced the Reiss request after the market closed	Nashua announced.
Foreign bonds surged as the dollar weakened against most major currencies	The expansion is subject to approval by federal and Wisconsin environmental regulators	The expansion is subject to approval by federal and Wisconsin.
The guide scoops into a pail and puts a frantically wiggling croaker on the hook	The estimate includes the results of new stores	The estimate includes new stores.
These securities are attractive to Japanese investors for three reasons	Soaring rights fees will lead to an even greater clutter of commercials	Soaring will lead to even greater clutter of commercials.
But the firm also tracks smaller technology companies as a subset of the larger group	He is a lawyer with a string of academic degrees	He is a lawyer with a.
Flesh goes to total alert for flight or fight	The Panamanian affair is only the tip of a more alarming iceberg	The Panamanian affair is a more alarming iceberg.
