demonstration	test_sentence	response
The guide scoops into a pail and puts a frantically wiggling croaker on the hook	Others had lesser damage and there were no injuries among workers	Others had lesser damage and there were no injuries.
The machine began shipping at the end of last year	Enfield is a holding company with interests in manufacturing concerns	Enfield is a holding company with interests.
There was no cost estimate for the second phase	Magazine publishers are facing spiraling costs and a glut of new titles	Magazine publishers are facing costs
He was only the sixth federal judge ever ousted from office after an impeachment trial	One man wrapped several diamonds in the knot of his tie	One man wrapped several diamonds in.
Delayed financings also would affect the operations of many companies	The estimate includes the results of new stores	The estimate includes.
It expects any impact on its business to be slight	Merck is one of the most important stocks in the Major Market Index	Merck is one of the most important stocks.
The dollar was virtually unchanged	She was as cool as a cucumber	She was.
The August drop was the fourth decline in five months	He reset opening arguments for today	He reset for today.
And she has this inexhaustible energy	Congressmen raised the issue yesterday at a hearing	Congressmen raised.
The final maturity is in five years	Total return is price changes plus interest income	Total return is.
These securities are attractive to Japanese investors for three reasons	Percentage differences based on daily sales rate rather than sales volume	Percentage differences rather than sales volume.
The turnover in both issues was roughly normal	Corn futures prices rose slightly while wheat prices settled mixed	Corn futures prices rose.
He no longer crowds the plate	We are the producers of that movie	We are.
Drug companies lost a major liability case	That brought a chain reaction in the industry	That brought.
Hostile takeovers are quite a new phenomenon	Some industry groups consistently weather the storm better than others	Some industry groups weather.
The market is still very touchy about rumors and news on pending takeovers	The market seems increasingly disconnected from the rest of the nation	The market seems increasingly disconnected.
That brought a chain reaction in the industry	The Fed has assumed a similar responsibility in the market for government securities	The Fed has assumed a similar responsibility.
But they are stalwart socialists	They will be the next hot magazines	They will be.
We think that the ratings revision is unfortunate but not unexpected	The move had been widely expected	The move had been.
They looked at the miniature and saw a giant folly	The service supplies weekly reports on school and college construction plans	The service supplies.
Two election commission members opposed the matching plans	The company could command a good price in the market	The company could command.
The service supplies weekly reports on school and college construction plans	And he nearly always bought and sold for cash	And he nearly always.
But they attribute much of the weakness to customer inventory reductions	All of the bidders contemplate full payment including interest to secured creditors	All of the bidders contemplate full payment to secured creditors.
These revised figures also may explain some of the recent strength of the dollar	Kidder officials stand by their aggressive use of program trading	Kidder officials stand by their aggressive use of.
