demonstration	test_sentence	response
我没用电压力锅给她做过	我晚上在火车上睡不好	我睡不好
我今天在改回程的票	你办个招行和广发的就行	你办个招行和广发的
她安排了别的任务	祖上多少代都没这基因	祖上没这基因
你要告诉我英文名	她的比我的好弄	比我的好弄
我上个月去找他了	他们报了什么兴趣班	他们报了兴趣班
之前那个手机短信实在太麻烦了	他老说有些人的性格要改了	他老说有些人性格要改了
我有一个	正好我现在一个同事有点心得	一个
各拥一片天	我们没有初稿这一说	我们没有初稿
你在忙么司	我是说回程	我说回程
我对她高中都没什么印象	也许我和他说过话但没在意	我和他
你这次可稳准了	你也喜欢这张	你喜欢这张
我都得耻骨联合分离症了	我给你加	我给你
宾大在费城市内有点吵不过还行	我睡床上了	睡床上了
我就没有关心这个问题	下面这家的蛮好看	下面这家蛮好看
那门课的成绩就是专四成绩	她这个人太可怕	fail to follow
鸡同鸭讲	我自己减少了和他们的交往	我自己减少了交往
我复给你看	你到了我给你拿出去就是	你我拿出去就是
这个书已经出了	其他的有没有	fail to follow
他是纯爷们	您们这么人性化说明您们领导有方	您们有方
那你还是打印电子版的吧	最后一轮是跟总经理	最后一轮是跟经理
我七八点的时候打把	我不再是以前的我	我不是以前的我
服务器上的电子病历还老报错	要是晚上的那种我是能参加的	晚上的那种我是能参加的
你可以多玩一天	我们也是学前班上了一个私立学校	我们也是学前班上了一个私立
当时我在外面骑车	我要跟家长说说	我要跟家长说
