original	label	prediction
这个故事始于一个小镇	这个故事始于一个小镇	这个故事始于小镇
一只迷路的小狗走向城市公园	一只迷路的小狗走向城市公园	一只迷路的小狗走向
一轮圆月出现在漆黑的夜空上	一轮圆月出现在漆黑的夜空上	一轮圆月出现
这个老人看向窗户	这个老人看向窗户	这个老人看向
他的父亲死于一次心脏病	他的父亲死于	fail to follow
这个老人看向窗户	这个老人看向窗户	这个老人看向
他的父亲死于一次心脏病	他的父亲死于	他的父亲死于一次
这个老人看向窗户	这个老人看向窗户	这个老人看向
他的父亲死于一次心脏病	他的父亲死于	他的父亲死于一次
这封秘密信放在旧木桌上	这封秘密信放在旧木桌上	秘密信放在旧木桌上
一张照片挂在他的书房	一张照片挂在他的书房	一张照片挂在书房
一位绅士走向繁忙的咖啡厅	一位绅士走向繁忙的咖啡厅	一位绅士走向咖啡厅
小船停在平静的湖面上	小船停在平静的湖面上	小船停在
这场意外发生在周六晚上	这场意外发生在	这场意外发生
小船停在平静的湖面上	小船停在平静的湖面上	小船停在湖面上
干净的床单放在洗衣篮中	干净的床单放在洗衣篮中	干净的床单放在
小女孩走向卧室	小女孩走向卧室	小女孩走向
这封秘密信放在旧木桌上	这封秘密信放在旧木桌上	这封秘密信放在
他的父亲死于一次心脏病	他的父亲死于	他的父亲死于心脏病
小女孩走向卧室	小女孩走向卧室	小女孩走向
他的父亲死于一次心脏病	他的父亲死于	fail to follow
路标指向最近的出口	路标指向最近的出口	路标指向出口
旧地图指向隐藏的宝藏	旧地图指向隐藏的宝藏	旧地图指向
大部分人生活在农村地区	大部分人生活在	大部分人生活
