original	label	prediction
这位伟大的艺术家死于一场重病	这位伟大的艺术家死于一场重病	fail to follow
这封秘密信放在旧木桌上	这封秘密信放在旧木桌上	fail to follow
小女孩走向卧室	小女孩走向卧室	小女孩走向
大部分人生活在农村地区	大部分人生活在	大部分人生活在农村
干净的床单放在洗衣篮中	干净的床单放在洗衣篮中	fail to follow
一位绅士走向繁忙的咖啡厅	一位绅士走向繁忙的咖啡厅	一位绅士走向
小女孩走向卧室	小女孩走向卧室	小女孩走向
这封秘密信放在旧木桌上	这封秘密信放在旧木桌上	fail to follow
路标指向最近的出口	路标指向最近的出口	路标指向出口
学生们看向复杂的方程式	学生们看向复杂的方程式	学生们看向
厚厚的论文摆放在书架上	厚厚的论文摆放在书架上	论文摆放在书架上
一张照片挂在他的书房	一张照片挂在他的书房	一张照片挂在书房
一件惊讶的事情发生在他们的结婚纪念日上	一件惊讶的事情发生在他们的结婚纪念日上	惊讶的事情发生在他们的结婚纪念日上
小鸟们停在粗树枝上	小鸟们停在粗树枝上	小鸟们停在树枝上
剩余学生坐在地上	剩余学生坐在	剩余学生坐在
旧地图指向隐藏的宝藏	旧地图指向隐藏的宝藏	旧地图指向
路标指向最近的出口	路标指向最近的出口	路标指向最近出口
黄金宝藏位于茂密的丛林	黄金宝藏位于茂密的丛林	黄金宝藏位于丛林
这封秘密信放在旧木桌上	这封秘密信放在旧木桌上	秘密信放在旧木桌上
旧地图指向隐藏的宝藏	旧地图指向隐藏的宝藏	旧地图指向宝藏
这场意外发生在周六晚上	这场意外发生在	fail to follow
这场意外发生在周六晚上	这场意外发生在	意外发生在周六晚上
小船停在平静的湖面上	小船停在平静的湖面上	小船停在湖面上
小船停在平静的湖面上	小船停在平静的湖面上	小船停静
