original	label	prediction
路标指向最近的出口	路标指向最近的出口	路标指向
他的父亲死于一次心脏病	他的父亲死于	fail to follow
一件惊讶的事情发生在他们的结婚纪念日上	一件惊讶的事情发生在他们的结婚纪念日上	fail to follow
旧地图指向隐藏的宝藏	旧地图指向隐藏的宝藏	旧地图指向
许多松鼠生活在橡树上	许多松鼠生活在橡树上	许多松鼠生活
干净的床单放在洗衣篮中	干净的床单放在洗衣篮中	fail to follow
路标指向最近的出口	路标指向最近的出口	路标指向出口
这个故事始于一个小镇	这个故事始于一个小镇	这个故事始于小镇
许多松鼠生活在橡树上	许多松鼠生活在橡树上	许多松鼠生活
剩余学生坐在地上	剩余学生坐在	剩余学生坐在
这个故事始于一个小镇	这个故事始于一个小镇	这个故事始于小镇
这位伟大的艺术家死于一场重病	这位伟大的艺术家死于一场重病	这位伟大的艺术家死于一场病
大部分人生活在农村地区	大部分人生活在	大部分人生活
小男孩看向玩具店的橱窗	小男孩看向玩具店的橱窗	小男孩看向橱窗
他的父亲死于一次心脏病	他的父亲死于	fail to follow
路标指向最近的出口	路标指向最近的出口	fail to follow
干净的床单放在洗衣篮中	干净的床单放在洗衣篮中	干净的床单
小船停在平静的湖面上	小船停在平静的湖面上	小船停在湖面上
年老的客人们坐在晚餐桌旁	年老的客人们坐在晚餐桌旁	年老客人晚餐
他的父母冲到他身旁	他的父母冲到他身旁	他的父母冲到
年老的客人们坐在晚餐桌旁	年老的客人们坐在晚餐桌旁	年老客人们坐在晚餐桌旁
旧地图指向隐藏的宝藏	旧地图指向隐藏的宝藏	旧地图指向
一件惊讶的事情发生在他们的结婚纪念日上	一件惊讶的事情发生在他们的结婚纪念日上	惊讶事情发生在结婚纪念日
这场意外发生在周六晚上	这场意外发生在	这场意外发生
